,User,Category,Label,ResponsTask,TestResQual,TestResQuant,SecSpent,TotSec,LearnType,Level,UserCumSec,difficulty
0,0,-1,Startseite,-1,-1,-1,18,31,6,-1,18,-1
1,0,-1,Tour,-1,-1,-1,4,49,6,-1,22,-1
2,0,-1,Übersicht,-1,-1,-1,85,53,6,-1,107,-1
3,0,0,ks1a,-1,-1,-1,4,138,6,0,111,-1
4,0,0,ka1a1,-1,-1,-1,90,142,4,0,201,-1
5,0,0,ks1a1b1_1a,-1,-1,-1,46,232,5,0,247,-1
6,0,0,ka1a1,-1,-1,-1,11,278,4,0,258,-1
7,0,0,ks1a1b2_1a,-1,-1,-1,31,289,5,0,289,-1
8,0,0,ka1a1,-1,-1,-1,11,320,4,0,300,-1
9,0,0,ks1a1b3_1a,-1,-1,-1,19,331,5,0,319,-1
10,0,0,ka1a1,-1,-1,-1,5,350,4,0,324,-1
11,0,0,ks1a1b4_1a,-1,-1,-1,25,355,5,0,349,-1
12,0,0,ka1a1,-1,-1,-1,70,380,4,0,419,-1
13,0,0,ks1a1k1_1a,1,-1,-1,125,450,3,0,125,-1
14,0,0,ks1a1k2_1a,2,-1,-1,105,575,3,0,230,-1
15,0,0,ks1a1k2_1a,-1,-1,-1,8,680,3,0,238,-1
16,0,0,ks1a1b4_1a,-1,-1,-1,5,688,5,0,424,-1
17,0,0,ka1a1,-1,-1,-1,11,693,4,0,435,-1
18,0,0,ks1a1k2_1a,-1,-1,-1,7,704,3,0,245,-1
19,0,0,ka1a1,-1,-1,-1,6,711,4,0,441,-1
20,0,0,ks1a1k3_1a,-1,-1,-1,4,717,3,0,249,-1
21,0,0,ka1a1,-1,-1,-1,5,721,4,0,446,-1
22,0,0,ks1a,-1,-1,-1,3,726,6,0,449,-1
23,0,0,ks1c,-1,-1,-1,24,729,1,0,273,-1
24,0,0,ks1c1ue3_1,1,-1,-1,216,753,2,0,489,0
25,0,0,Übersicht,-1,-1,-1,19,969,6,0,468,-1
26,0,0,ks1a,-1,-1,-1,5,988,6,0,473,-1
27,0,0,ks1a4,-1,-1,-1,68,993,4,0,541,-1
28,0,0,ks1a4b1_1a,-1,-1,-1,11,1061,5,0,552,-1
29,0,0,Übersicht,-1,-1,-1,7,1072,6,0,559,-1
30,0,1,ks2a,-1,-1,-1,3,1079,6,0,562,-1
31,0,1,ks2a1,-1,-1,-1,60,1082,4,0,622,-1
32,0,1,ks2a1b1_1a,-1,-1,-1,61,1142,5,0,683,-1
33,0,1,ks2a1,-1,-1,-1,5,1203,4,0,688,-1
34,0,1,ks2a1b1_1a,-1,-1,-1,11,1208,5,0,699,-1
35,0,1,ks2a1,-1,-1,-1,10,1219,4,0,709,-1
36,0,1,ks2a1b3_1a,-1,-1,-1,45,1229,5,0,754,-1
37,0,1,ks2a1,-1,-1,-1,12,1274,4,0,766,-1
38,0,1,ks2a1b4_1a,-1,-1,-1,45,1286,5,0,811,-1
39,0,1,ks2a1,-1,-1,-1,5,1331,4,0,816,-1
40,0,1,ks2a,-1,-1,-1,3,1336,6,0,819,-1
41,0,1,ks2a1,-1,-1,-1,5,1339,4,0,824,-1
42,0,1,ks2a2,-1,-1,-1,93,1344,4,0,917,-1
43,0,1,ks2a2b1_1a,-1,-1,-1,49,1437,5,0,966,-1
44,0,1,ks2a2,-1,-1,-1,5,1486,4,0,971,-1
45,0,1,ks2a2b2_1a,-1,-1,-1,145,1491,5,0,1116,-1
46,0,1,ks2a2,-1,-1,-1,6,1636,4,0,1122,-1
47,0,1,ks2a2b3_1a,-1,-1,-1,103,1642,5,0,1225,-1
48,0,1,ks2a2,-1,-1,-1,15,1745,4,0,1240,-1
49,0,1,ks2a2b4_1a,-1,-1,-1,106,1760,5,0,1346,-1
50,0,1,ks2a2,-1,-1,-1,4,1866,4,0,1350,-1
51,0,1,ks2a3,-1,-1,-1,41,1870,4,0,1391,-1
52,0,1,ks2a3b1_1a,-1,-1,-1,20,1911,5,0,1411,-1
53,0,1,ks2a3,-1,-1,-1,5,1931,4,0,1416,-1
54,0,1,ks2a3b2_1a,-1,-1,-1,6,1936,5,0,1422,-1
55,0,1,ks2a3,-1,-1,-1,4,1942,4,0,1426,-1
56,0,1,ks2a3b3_1a,-1,-1,-1,11,1946,5,0,1437,-1
57,0,1,ks2a3,-1,-1,-1,5,1957,4,0,1442,-1
58,0,1,ks2a3b4_1a,-1,-1,-1,38,1962,5,0,1480,-1
59,0,1,ks2a3,-1,-1,-1,5,2000,4,0,1485,-1
60,0,1,ks2a3k1_1a,-1,-1,-1,68,2005,3,0,557,-1
61,0,1,ks2a3,-1,-1,-1,5,2073,4,0,1490,-1
62,0,1,ks2a3k1_1a,-1,-1,-1,87,2078,3,0,644,-1
63,0,1,ks2a3,-1,-1,-1,6,2165,4,0,1496,-1
64,0,1,ks2a3k1_1a,-1,-1,-1,45,2171,3,0,689,-1
65,0,1,ks2a3,-1,-1,-1,6,2216,4,0,1502,-1
66,0,1,ks2a3k1_1a,-1,-1,-1,183,2222,3,0,872,-1
67,0,1,ks2a3,-1,-1,-1,3,2405,4,0,1505,-1
68,0,1,ks2c,-1,-1,-1,9,2408,1,0,881,-1
69,0,1,ks2c3ue1_1,-1,-1,-1,31,2417,2,0,912,0
70,0,1,ks2c,-1,-1,-1,8,2448,1,0,920,-1
71,0,1,ks2c3ue1_1,2,-1,-1,99,2456,2,0,1019,0
72,0,1,ks2c3ue1_1,-1,-1,-1,14,2555,2,0,1033,0
73,0,1,Übersicht,-1,-1,-1,8,2569,6,0,1513,-1
74,0,1,ks2e,-1,-1,-1,66,2577,6,0,1579,-1
75,0,1,ks2ev1,-1,-1,-1,958,2643,0,0,1991,-1
76,0,1,Rückmeldungen,-1,1,50,34,3601,0,0,2025,-1
77,0,1,Rückmeldungen,-1,-1,-1,53,3635,0,0,2078,-1
78,0,1,Übersicht,-1,-1,-1,7,3688,6,0,1586,-1
79,0,0,ks1a,-1,-1,-1,35,3695,6,0,1621,-1
80,0,0,ka1a1,-1,-1,-1,12,3730,4,0,1633,-1
81,0,0,Startseite,-1,-1,-1,24,3742,6,0,1657,-1
82,0,0,Tour,-1,-1,-1,5,3766,6,0,1662,-1
83,0,0,Übersicht,-1,-1,-1,5,3771,6,0,1667,-1
84,0,0,ks1e,-1,-1,-1,3,3776,6,0,1670,-1
85,0,0,ks1ev1,-1,-1,-1,90,3779,0,0,2168,-1
86,0,0,Logout,-1,-1,-1,2585341,3869,6,0,2587011,-1
87,0,0,Startseite,-1,-1,-1,21,2589210,6,0,2587032,-1
88,0,0,Tour,-1,-1,-1,6,2589231,6,0,2587038,-1
89,0,0,Übersicht,-1,-1,-1,19,2589237,6,0,2587057,-1
90,0,0,ks1a,-1,-1,-1,5,2589256,6,0,2587062,-1
91,0,0,ka1a1,-1,-1,-1,169,2589261,4,0,2587231,-1
92,0,0,ks1a2,-1,-1,-1,214,2589430,4,0,2587445,-1
93,0,0,ks1a2b2_1a,-1,-1,-1,19,2589644,5,0,2587464,-1
94,0,0,ks1a2,-1,-1,-1,30,2589663,4,0,2587494,-1
95,0,0,ks1a4,-1,-1,-1,314,2589693,4,0,2587808,-1
96,0,0,ks1a5,-1,-1,-1,389,2590007,4,0,2588197,-1
97,0,0,ks1a,-1,-1,-1,3,2590396,6,0,2588200,-1
98,0,0,ks1c,-1,-1,-1,36,2590399,1,0,2204,-1
99,0,0,ks1c1ue3_1,-1,-1,-1,190,2590435,2,0,2394,0
100,0,0,ks1c1ue7_1,-1,-1,-1,43,2590625,2,0,2437,0
101,0,0,ks1e,-1,-1,-1,25,2590668,6,0,2588225,-1
102,0,0,ks1ev1,-1,-1,-1,67,2590693,0,0,2504,-1
103,0,0,ks1ev1,-1,-1,-1,490,2590760,0,0,2994,-1
104,0,0,ks1a4,-1,-1,-1,1,2591250,4,0,2588226,-1
105,0,0,ks1a5,-1,-1,-1,5,2591251,4,0,2588231,-1
106,0,0,ks1e,-1,-1,-1,2,2591256,6,0,2588233,-1
107,0,0,ks1ev1,-1,-1,-1,409,2591258,0,0,3403,-1
108,0,0,Rückmeldungen,-1,1,58,45,2591667,0,0,3448,-1
109,0,0,Rückmeldungen,-1,-1,-1,64,2591712,0,0,3512,-1
110,0,0,Übersicht,-1,-1,-1,6,2591776,6,0,2588239,-1
111,0,0,ks1e,-1,-1,-1,2,2591782,6,0,2588241,-1
112,0,0,ks1ev3,-1,-1,-1,406,2591784,0,0,3918,-1
113,0,0,Startseite,-1,-1,-1,19,2592190,6,0,2588260,-1
114,0,0,Tour,-1,-1,-1,21,2592209,6,0,2588281,-1
115,0,0,Übersicht,-1,-1,-1,6,2592230,6,0,2588287,-1
116,0,1,ks2a,-1,-1,-1,4,2592236,6,0,2588291,-1
117,0,1,ks2a1,-1,-1,-1,629,2592240,4,0,2588920,-1
118,0,1,ks2a2,-1,-1,-1,790,2592869,4,0,2589710,-1
119,0,1,ks2a3,-1,-1,-1,382,2593659,4,0,2590092,-1
120,0,1,ks2a4,-1,-1,-1,10,2594041,4,0,2590102,-1
121,0,1,Notizen,-1,-1,-1,57,2594051,6,0,2590159,-1
122,0,1,Logout,-1,-1,-1,0,2594108,6,0,2590159,-1
123,1,1,Startseite,-1,-1,-1,19,0,6,0,19,-1
124,1,1,Tour,-1,-1,-1,2,19,6,0,21,-1
125,1,1,Übersicht,-1,-1,-1,109,21,6,0,130,-1
126,1,0,ks1e,-1,-1,-1,7,130,6,0,137,-1
127,1,0,ks1ev1,-1,-1,-1,9,137,0,0,9,-1
128,1,0,Startseite,-1,-1,-1,21,146,6,0,158,-1
129,1,0,Tour,-1,-1,-1,7,167,6,0,165,-1
130,1,0,Übersicht,-1,-1,-1,4,174,6,0,169,-1
131,1,0,ks1a,-1,-1,-1,4,178,6,0,173,-1
132,1,0,ka1a1,-1,-1,-1,52,182,4,0,225,-1
133,1,0,ks1a1b1_1a,-1,-1,-1,29,234,5,0,254,-1
134,1,0,ka1a1,-1,-1,-1,35,263,4,0,289,-1
135,1,0,ks1a1b2_1a,-1,-1,-1,10,298,5,0,299,-1
136,1,0,ka1a1,-1,-1,-1,9,308,4,0,308,-1
