,User,TestsActs,ÜbungenActs,KurzaufgabenActs,BeispieleActs,BK_InfoActs,Ü_InfoActs,Übersicht,LearnActs,InfoActs,TotActs,Learn,Info,Tot,ShortLearnActs,ShortInfoActs,LongLearnActs,LongInfoActs,K+BActs,K+ÜActs,K+Ü+TActs,K+B+ÜActs,K+BKIActs,B+BKIActs,Ü+ÜIActs,BKI+ÜIActs,K+B+BKIActs,K+B+BKI+ÜIActs,K+B+BKI+Ü+ÜIActs,readActs,Tests_tpa,Übungen_tpa,Kurzaufgaben_tpa,Beispiele_tpa,BK_Info_tpa,Ü_Info_tpa,Learn_tpa,Info_tpa,Tot_tpa,K+B_tpa,K+Ü_tpa,K+Ü+T_tpa,K+B+Ü_tpa,K+BKI_tpa,B+BKI_tpa,Ü+ÜI_tpa,BKI+ÜI_tpa,K+B+BKI_tpa,K+B+BKI+ÜI_tpa,K+B+BKI+Ü+ÜI_tpa,read_tpa,duplicates,nCat,LearnTypeEntropy,CategoryEntropy,DidTest,f1,f2,f12,f1Amp,f2Amp,f12Amp,fMean,PredChance1,PredChance2,PredChance3,PredChance4,CondEntropy1,CondEntropy2,CondEntropy3,CondEntropy4,BeforeTestTime,AfterTestTime,TimePerCat,TRegr Fit,ÜRegr Fit,BKRegr Fit,CatTRegr Fit,CatÜRegr Fit,CatBKRegr Fit,DiffLowRegr Fit,DiffMedRegr Fit,DiffHighRegr Fit,TSecSpentRegr Fit,ÜSecSpentRegr Fit,BKSecSpentRegr Fit,SecSpentRegr Fit,meandifficulty,ndifficulty,backfrac,foolfrac1,foolfrac2,foolfrac12,TT,TB,UT,UU,UB,KU,KK,KB,BT,BU,BK,BB,TTT,TTB,TBB,UUU,UBB,KKK,KKB,KBK,KBB,BKK,BKB,BBT,BBK,BBB,Tests,Übungen,Kurzaufgaben,Beispiele,BK_Info,Ü_Info,Cat_0,Cat_1,Cat_2,Cat_3,Cat_4,Cat_5,Grund,Erweitert,K+B,K+Ü,K+Ü+T,K+B+Ü,K+BKI,B+BKI,Ü+ÜI,BKI+ÜI,K+B+BKI,K+B+BKI+ÜI,K+B+BKI+Ü+ÜI,ShortActs,LongActs,read,LearnPerc,InfoPerc,LearnActsPerc,InfoActsPerc,duplicatesPerc,ShortLearnActsPerc,ShortInfoActsPerc,LongLearnActsPerc,LongInfoActsPerc,ShortActsPerc,LongActsPerc
0,0,3,2,31,30,77,6,3180,66,83,167,4800,7440,15420,0,0,0,3,61,33,36,63,108,107,8,83,138,144,146,107,60.0,60.0,63.87096774193548,84.0,91.94805194805195,60.0,72.72727272727273,89.63855421686748,92.33532934131736,73.77049180327869,63.63636363636363,63.333333333333336,73.33333333333333,83.88888888888889,89.7196261682243,60.0,89.63855421686748,83.91304347826087,82.91666666666667,82.6027397260274,89.7196261682243,89,3,69.94813573113267,60.915768437975885,1,3,2,2.5,36.36363636363637,27.27272727272727,63.63636363636364,15.692307692307692,86.74698795180723,90.30303030303031,92.07317073170732,92.02453987730061,37.28820597929374,32.24374342705582,26.656132176569976,23.562856687926597,69.5,15.5,85.66666666666667,0.009183494749436433,-0.02764442611385841,0.018460931364422124,0.003100173543449213,0.03398485231532451,-0.03708502585877387,0.0,0.0,0.0,1.0700423984367389e-13,4.5395477006144213e-13,5.473131523521697,6.207102520332093,1.0,2,0.15384615384615385,0.07692307692307693,0.23076923076923078,0.3076923076923077,0.006666666666666667,0.013333333333333334,0.0,0.02666666666666667,0.02666666666666667,0.013333333333333334,0.02,0.17333333333333334,0.013333333333333334,0.013333333333333334,0.19333333333333333,0.5,0.0,0.006711409395973154,0.006711409395973154,0.020134228187919462,0.020134228187919462,0.0,0.020134228187919462,0.06040268456375839,0.10067114093959731,0.020134228187919462,0.15436241610738255,0.006711409395973154,0.12080536912751678,0.3691275167785235,1.1673151750972763,0.7782101167315175,12.840466926070038,16.342412451361866,45.91439688715953,2.3346303501945527,38.52140077821012,28.793774319066145,32.68482490272373,0.0,0.0,0.0,86.38132295719845,13.618677042801556,29.18287937743191,13.618677042801556,14.785992217898833,29.961089494163424,58.754863813229576,62.2568093385214,3.11284046692607,48.249027237354085,75.09727626459144,77.431906614786,78.21011673151752,0.0,0.019455252918287938,62.2568093385214,31.1284046692607,48.249027237354085,39.52095808383233,49.700598802395206,53.293413173652695,0.0,0.0,0.0,1.7964071856287425,0.0,0.011649852046879005
1,1,2,0,16,24,60,1,3600,42,61,117,4080,6540,14220,0,0,1,4,40,16,18,40,76,84,1,61,100,101,101,84,270.0,,105.0,77.5,108.0,60.0,97.14285714285714,107.21311475409836,121.53846153846153,88.5,105.0,123.33333333333333,88.5,107.36842105263158,99.28571428571429,60.0,107.21311475409836,100.2,99.8019801980198,99.8019801980198,99.28571428571429,48,5,67.0402769947718,79.64163485831969,1,5,3,4.0,23.809523809523807,21.428571428571427,45.238095238095234,35.4,91.37931034482759,95.65217391304348,95.6140350877193,95.57522123893806,31.030146513784572,19.773644505259444,14.892491693664727,14.662911931652713,59.0,23.0,47.4,0.04219044196388203,0.004315429658334918,-0.04650587162221713,0.021204622879948044,0.005783258822347429,-0.026987881702295227,0.0,0.0,0.0,4890.410958904109,0.0,74.35488562493393,66.24267081488576,-1.0,0,0.11904761904761904,0.14285714285714285,0.16666666666666666,0.30952380952380953,0.009615384615384616,0.009615384615384616,0.0,0.0,0.009615384615384616,0.009615384615384616,0.019230769230769232,0.125,0.009615384615384616,0.0,0.1346153846153846,0.6730769230769231,0.0,0.009708737864077669,0.009708737864077669,0.0,0.0,0.009708737864077669,0.009708737864077669,0.02912621359223301,0.0970873786407767,0.009708737864077669,0.11650485436893204,0.0,0.10679611650485436,0.5631067961165048,3.79746835443038,0.0,11.814345991561181,13.080168776371309,45.56962025316456,0.42194092827004215,38.39662447257383,21.09704641350211,25.738396624472575,5.9071729957805905,8.860759493670885,0.0,81.0126582278481,18.9873417721519,24.894514767932492,11.814345991561181,15.611814345991561,24.894514767932492,57.383966244725734,58.64978902953587,0.42194092827004215,45.9915611814346,70.46413502109705,70.88607594936708,70.88607594936708,0.0,0.035161744022503515,58.64978902953587,28.691983122362867,45.9915611814346,35.8974358974359,52.13675213675214,41.02564102564102,0.0,0.0,0.8547008547008548,3.418803418803419,0.0,0.030052772668806425
2,2,0,0,0,14,49,1,2640,14,50,88,2760,7800,13200,0,0,1,6,14,0,0,14,49,63,1,50,63,64,64,63,,,,197.14285714285714,157.9591836734694,60.0,197.14285714285714,156.0,150.0,197.14285714285714,,,197.14285714285714,157.9591836734694,166.66666666666666,60.0,156.0,166.66666666666666,165.0,165.0,166.66666666666666,37,6,37.76441208390054,68.5494870591128,0,14,14,14.0,100.0,100.0,200.0,58.666666666666664,79.3103448275862,89.53488372093024,91.76470588235294,94.04761904761905,55.97880320537607,50.09708938430914,47.57951815399513,43.87162822175559,0.0,0.0,36.666666666666664,0.0,0.001988404694926509,-0.0019884046949262355,0.0,0.007175500248109355,-0.007175500248109238,0.0,0.0,0.0,0.0,0.0,-0.3450813517184977,-3.826940344195024,-1.0,0,0.21428571428571427,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.0,0.0,0.0,0.0,0.015151515151515152,0.0,0.0,0.0,0.0,0.015151515151515152,0.0,0.9696969696969697,0.0,0.0,0.0,0.0,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9538461538461539,0.0,0.0,0.0,20.909090909090907,58.63636363636363,0.45454545454545453,7.2727272727272725,7.727272727272727,10.909090909090908,1.8181818181818181,62.272727272727266,10.0,70.9090909090909,29.09090909090909,20.909090909090907,0.0,0.0,20.909090909090907,58.63636363636363,79.54545454545455,0.45454545454545453,59.09090909090909,79.54545454545455,80.0,80.0,0.0,0.05303030303030304,79.54545454545455,20.909090909090907,59.09090909090909,15.909090909090908,56.81818181818182,42.04545454545455,0.0,0.0,1.1363636363636365,6.8181818181818175,0.0,0.06026170798898073
3,3,2,0,12,30,49,0,1080,44,49,105,3600,3780,8460,0,0,0,0,42,12,14,42,61,79,0,49,91,91,91,79,60.0,,65.0,90.0,77.14285714285714,,81.81818181818181,77.14285714285714,80.57142857142857,82.85714285714286,65.0,64.28571428571429,82.85714285714286,74.75409836065573,82.0253164556962,,77.14285714285714,79.78021978021978,79.78021978021978,79.78021978021978,82.0253164556962,45,3,63.068395370493626,60.900513272088816,1,20,1,10.5,45.45454545454545,18.181818181818183,63.63636363636364,24.6,92.3076923076923,94.1747572815534,95.09803921568627,96.03960396039604,32.191460611289116,25.06345727158772,19.04328082069153,18.639215985006597,23.0,15.0,47.0,0.0033229232683866347,0.0,-0.0033229232683865016,0.005693773713821249,0.0,-0.0056937737138215505,0.0,0.0,0.0,7.391764963894922e-13,0.0,50.38938339559294,44.28726662543518,-1.0,0,0.11904761904761904,0.23809523809523808,0.14285714285714285,0.38095238095238093,0.0,0.021739130434782608,0.0,0.0,0.0,0.0,0.03260869565217391,0.09782608695652174,0.021739130434782608,0.0,0.09782608695652174,0.7282608695652174,0.0,0.0,0.01098901098901099,0.0,0.0,0.02197802197802198,0.01098901098901099,0.04395604395604396,0.04395604395604396,0.01098901098901099,0.08791208791208792,0.01098901098901099,0.054945054945054944,0.6703296703296703,1.4184397163120568,0.0,9.219858156028367,31.914893617021278,44.680851063829785,0.0,33.33333333333333,38.297872340425535,28.368794326241137,0.0,0.0,0.0,83.68794326241135,16.312056737588655,41.13475177304964,9.219858156028367,10.638297872340425,41.13475177304964,53.90070921985816,76.59574468085107,0.0,44.680851063829785,85.81560283687944,85.81560283687944,85.81560283687944,0.0,0.0,76.59574468085107,42.5531914893617,44.680851063829785,41.904761904761905,46.666666666666664,42.857142857142854,0.0,0.0,0.0,0.0,0.0,0.0
4,4,11,0,70,18,57,0,4560,99,57,172,10260,7620,22440,0,0,4,3,88,70,81,88,127,75,0,57,145,145,145,75,65.45454545454545,,114.0,86.66666666666667,133.68421052631578,,103.63636363636364,133.68421052631578,130.46511627906978,108.4090909090909,114.0,107.4074074074074,108.4090909090909,122.83464566929133,122.4,,133.68421052631578,118.34482758620689,118.34482758620689,118.34482758620689,122.4,64,6,66.2151792427908,89.76236456304912,1,3,13,8.0,18.181818181818183,13.131313131313133,31.313131313131315,27.09090909090909,88.30409356725146,92.3529411764706,92.89940828402366,94.04761904761905,40.97833642941811,21.115534822122388,19.240462667456512,17.562373490407023,50.0,17.8,62.333333333333336,0.01009877496394589,0.0,-0.010098774963945758,0.006335206557084725,0.0,-0.006335206557085143,0.0,0.0,0.0,-39.39962476547858,0.0,29.985916853273114,20.660672640701875,-1.0,0,0.0967741935483871,0.3763440860215054,0.11827956989247312,0.4946236559139785,0.0379746835443038,0.03164556962025317,0.0,0.0,0.0,0.0,0.2088607594936709,0.20253164556962025,0.0,0.0,0.23417721518987342,0.25316455696202533,0.01910828025477707,0.01910828025477707,0.006369426751592357,0.0,0.0,0.10191082802547771,0.09554140127388536,0.14012738853503184,0.06369426751592357,0.10828025477707007,0.10828025477707007,0.0,0.07643312101910828,0.17834394904458598,3.2085561497326207,0.0,35.56149732620321,6.951871657754011,33.9572192513369,0.0,24.86631016042781,6.149732620320856,10.962566844919785,6.951871657754011,34.75935828877005,16.31016042780749,98.3957219251337,1.6042780748663104,42.513368983957214,35.56149732620321,38.770053475935825,42.513368983957214,69.5187165775401,40.909090909090914,0.0,33.9572192513369,76.47058823529412,76.47058823529412,76.47058823529412,0.0,0.031194295900178255,40.909090909090914,45.72192513368984,33.9572192513369,57.55813953488372,33.13953488372093,37.2093023255814,0.0,0.0,2.3255813953488373,1.744186046511628,0.0,0.018136218546615266
5,5,7,40,12,16,24,23,1740,75,47,135,9660,4740,16140,0,0,7,1,28,52,59,68,36,40,63,47,52,75,115,40,205.71428571428572,136.5,135.0,71.25,117.5,83.47826086956522,128.8,100.85106382978724,119.55555555555556,98.57142857142857,136.15384615384616,144.40677966101694,120.88235294117646,123.33333333333333,99.0,117.14285714285714,100.85106382978724,107.3076923076923,100.0,112.69565217391305,99.0,56,5,83.17927287275401,83.81474948230043,1,15,3,9.0,20.0,16.0,36.0,17.142857142857146,82.83582089552239,87.96992481203007,90.9090909090909,93.89312977099237,45.92231475114013,31.691859023762298,26.30511432500629,19.539131437708278,45.5,10.75,53.8,0.039328944685746464,0.15757165966070355,-0.19690060434644996,0.047274264605547955,0.2797359894323815,-0.32701025403792927,-0.12550425506010157,-0.036639965828712685,0.1621442208888142,-4620.960434913924,58.93733070441408,64.5799511744815,12.788906134739797,0.972972972972973,37,0.22857142857142856,0.14285714285714285,0.07142857142857142,0.21428571428571427,0.024,0.016,0.024,0.488,0.024,0.016,0.04,0.032,0.008,0.016,0.056,0.24,0.008064516129032258,0.016129032258064516,0.016129032258064516,0.45161290322580644,0.008064516129032258,0.024193548387096774,0.0,0.008064516129032258,0.016129032258064516,0.016129032258064516,0.03225806451612903,0.0,0.04838709677419355,0.1935483870967742,8.921933085501859,33.82899628252788,10.037174721189592,7.063197026022305,17.472118959107807,11.895910780669144,30.111524163568777,20.817843866171003,12.639405204460965,28.99628252788104,7.434944237918216,0.0,100.0,0.0,17.100371747211895,43.866171003717476,52.78810408921933,50.92936802973978,27.509293680297397,24.53531598513011,45.72490706319702,29.36802973977695,34.572490706319705,46.468401486988846,80.29739776951673,0.0,0.04956629491945477,24.53531598513011,59.85130111524164,29.36802973977695,55.55555555555556,34.81481481481482,41.48148148148148,0.0,0.0,5.185185185185185,0.7407407407407408,0.0,0.036715774014410944
6,6,2,6,25,22,39,3,1380,55,42,106,4020,2700,8100,0,0,0,0,47,31,33,53,64,61,9,42,86,89,95,61,60.0,70.0,76.8,70.9090909090909,64.61538461538461,60.0,73.0909090909091,64.28571428571429,76.41509433962264,74.04255319148936,75.48387096774194,74.54545454545455,73.58490566037736,69.375,66.88524590163935,66.66666666666667,64.28571428571429,69.76744186046511,69.43820224719101,69.47368421052632,66.88524590163935,41,3,84.02642151701961,50.750654752534686,1,2,4,3.0,36.36363636363637,21.818181818181817,58.18181818181819,14.0,91.42857142857143,96.15384615384616,97.0873786407767,97.05882352941177,29.359137080990216,18.204977083429046,10.317355228963564,10.092306020649994,51.0,10.0,45.0,0.01665628585388562,0.11467369416736573,-0.13132998002125085,0.006621555928664565,0.07405966721143874,-0.0806812231401031,0.0,0.0,0.0,7.391764963894922e-13,115.7024793388428,-2.4599800973105954,-3.096755651850795,1.0,6,0.23636363636363636,0.16363636363636364,0.12727272727272726,0.2909090909090909,0.0,0.0,0.010416666666666666,0.0625,0.020833333333333332,0.010416666666666666,0.07291666666666667,0.17708333333333334,0.010416666666666666,0.0,0.1875,0.4270833333333333,0.0,0.0,0.0,0.05263157894736842,0.021052631578947368,0.021052631578947368,0.05263157894736842,0.07368421052631578,0.10526315789473684,0.05263157894736842,0.12631578947368421,0.010526315789473684,0.11578947368421053,0.29473684210526313,1.4814814814814816,5.185185185185185,23.703703703703706,19.25925925925926,31.11111111111111,2.2222222222222223,52.59259259259259,39.25925925925926,8.148148148148149,0.0,0.0,0.0,100.0,0.0,42.96296296296296,28.888888888888886,30.37037037037037,48.148148148148145,54.81481481481482,50.37037037037037,7.4074074074074066,33.33333333333333,74.07407407407408,76.29629629629629,81.48148148148148,0.0,0.0,50.37037037037037,49.629629629629626,33.33333333333333,51.886792452830186,39.62264150943396,38.67924528301887,0.0,0.0,0.0,0.0,0.0,0.0
7,7,1,27,50,29,55,5,960,107,60,176,12660,7920,21540,0,0,7,3,79,77,78,106,105,84,32,60,134,139,166,84,840.0,126.66666666666667,116.4,88.96551724137932,135.27272727272728,96.0,118.3177570093458,132.0,122.38636363636364,106.32911392405063,120.0,129.23076923076923,111.50943396226415,126.28571428571429,119.28571428571429,121.875,132.0,118.2089552238806,117.41007194244604,118.91566265060241,119.28571428571429,95,3,88.91902224521542,46.66496198993624,1,5,9,7.0,18.69158878504673,16.822429906542055,35.51401869158879,34.3,91.42857142857143,94.25287356321839,95.37572254335261,95.34883720930233,27.020594186079762,17.736115701063234,15.226830865826473,14.50793958791472,93.0,140.0,119.66666666666667,0.020990378679065367,0.0333014224283478,-0.054291801107413266,0.02702751788194541,0.23052067143123295,-0.25754818931317824,0.43905726955521224,-0.43905726955521235,0.0,0.0,143.35659774313487,55.07084305130944,34.157159713040755,0.3684210526315789,19,0.1308411214953271,0.411214953271028,0.06542056074766354,0.4766355140186916,0.0,0.0058823529411764705,0.0058823529411764705,0.16470588235294117,0.011764705882352941,0.01764705882352941,0.17058823529411765,0.10588235294117647,0.0,0.0058823529411764705,0.11764705882352941,0.38823529411764707,0.0,0.0,0.005917159763313609,0.15384615384615385,0.011834319526627219,0.10059171597633136,0.05917159763313609,0.05917159763313609,0.047337278106508875,0.07100591715976332,0.047337278106508875,0.0,0.05917159763313609,0.31952662721893493,3.8997214484679668,15.87743732590529,27.019498607242337,11.977715877437326,34.540389972144844,2.2284122562674096,68.80222841225627,14.484679665738161,16.71309192200557,0.0,0.0,0.0,85.79387186629526,14.206128133704734,38.99721448467967,42.89693593314763,46.796657381615596,54.874651810584965,61.55988857938719,46.51810584958218,18.105849582172702,36.768802228412255,73.53760445682451,75.76601671309191,91.64345403899722,0.0,0.04642525533890436,46.51810584958218,58.77437325905292,36.768802228412255,60.79545454545454,34.090909090909086,53.97727272727273,0.0,0.0,3.977272727272727,1.7045454545454544,0.0,0.02637798598801384
8,8,1,3,27,44,76,5,1440,75,81,169,8280,8220,17940,0,0,6,3,71,30,31,74,103,120,8,81,147,152,155,120,60.0,60.0,164.44444444444446,81.81818181818181,101.05263157894737,108.0,110.4,101.48148148148148,106.15384615384616,113.2394366197183,154.0,150.96774193548387,111.08108108108108,117.66990291262135,94.0,90.0,101.48148148148148,106.93877551020408,106.97368421052632,106.06451612903226,94.0,78,4,74.46344637749141,70.33196149499,1,5,9,7.0,26.666666666666668,24.0,50.66666666666667,68.75,92.85714285714286,94.61077844311377,94.57831325301204,95.15151515151516,23.39028775099796,19.465123800909137,18.00573735791139,16.413639820497608,17.0,45.0,74.75,0.0007743099111469844,0.011626927031268513,-0.012401236942415541,0.0024679129104978187,0.022559386821307467,-0.025027299731804842,0.0,0.0,0.0,0.0,107.30948678071583,31.528571434727315,25.46967102745443,1.3333333333333333,3,0.14864864864864866,0.40540540540540543,0.0945945945945946,0.5,0.012738853503184714,0.006369426751592357,0.006369426751592357,0.044585987261146494,0.0,0.0,0.06369426751592357,0.10828025477707007,0.0,0.006369426751592357,0.10828025477707007,0.643312101910828,0.00641025641025641,0.00641025641025641,0.00641025641025641,0.038461538461538464,0.0,0.02564102564102564,0.038461538461538464,0.057692307692307696,0.05128205128205128,0.038461538461538464,0.07051282051282051,0.0,0.05128205128205128,0.5833333333333334,0.33444816053511706,1.0033444816053512,24.74916387959866,20.066889632107024,42.80936454849498,3.0100334448160537,37.12374581939799,34.11371237458194,21.070234113712374,7.6923076923076925,0.0,0.0,79.93311036789298,20.066889632107024,44.81605351170568,25.75250836120401,26.08695652173913,45.819397993311036,67.55852842809364,62.87625418060201,4.013377926421405,45.819397993311036,87.62541806020067,90.63545150501672,91.63879598662207,0.0,0.05016722408026755,62.87625418060201,46.15384615384615,45.819397993311036,44.37869822485207,47.928994082840234,46.15384615384615,0.0,0.0,3.5502958579881656,1.7751479289940828,0.0,0.029684747976489675
9,9,3,0,35,25,52,1,600,63,53,125,4620,5580,10800,0,0,0,2,60,35,38,60,87,77,1,53,112,113,113,77,60.0,,78.85714285714286,67.2,106.15384615384616,60.0,73.33333333333333,105.28301886792453,86.4,74.0,78.85714285714286,77.36842105263158,74.0,95.17241379310344,93.50649350649351,60.0,105.28301886792453,88.92857142857143,88.67256637168141,88.67256637168141,93.50649350649351,63,2,67.38418220652196,33.82615543713942,1,4,3,3.5,25.396825396825395,19.047619047619047,44.44444444444444,24.285714285714285,92.74193548387096,95.1219512195122,95.08196721311475,95.0413223140496,22.855302815786427,18.592253737021288,15.269981332073376,15.116430680675407,0.0,124.0,90.0,0.012835755771744365,0.0070629030894051835,-0.019898658861149433,-0.279304251827303,0.006886929487617447,0.2724173223396854,0.0,0.0,0.0,1.0700423984367389e-13,0.0,55.67292904097374,52.164086000249895,-1.0,0,0.1746031746031746,0.4444444444444444,0.15873015873015872,0.6031746031746031,0.008695652173913044,0.017391304347826087,0.0,0.0,0.008695652173913044,0.0,0.14782608695652175,0.1565217391304348,0.017391304347826087,0.008695652173913044,0.1565217391304348,0.4782608695652174,0.0,0.008771929824561403,0.008771929824561403,0.0,0.008771929824561403,0.09649122807017543,0.05263157894736842,0.07017543859649122,0.07017543859649122,0.05263157894736842,0.10526315789473684,0.008771929824561403,0.08771929824561403,0.38596491228070173,1.6666666666666667,0.0,25.555555555555554,15.555555555555555,51.11111111111111,0.5555555555555556,70.55555555555556,29.444444444444446,0.0,0.0,0.0,0.0,100.0,0.0,41.11111111111111,25.555555555555554,27.22222222222222,41.11111111111111,76.66666666666667,66.66666666666666,0.5555555555555556,51.66666666666667,92.22222222222223,92.77777777777779,92.77777777777779,0.0,0.018518518518518517,66.66666666666666,42.77777777777778,51.66666666666667,50.4,42.4,50.4,0.0,0.0,0.0,1.6,0.0,0.014814814814814815
