,User,Category,Label,SecSpent,TotSec,LearnType,Level,UserCumSec,difficulty
0,0,-1,Tour,7,341,6,-1,7,-1
1,0,-1,Übersicht,134,348,6,-1,141,-1
2,0,0,ks1a,11,482,6,0,152,-1
3,0,0,Übersicht,8,493,6,0,160,-1
4,0,0,ks1a,23,501,6,0,183,-1
5,0,0,ka1a1,94,524,4,0,277,-1
6,0,0,ks1a1b1_1a,64,618,5,0,341,-1
7,0,0,ks1a1b2_1a,22,682,5,0,363,-1
8,0,0,ka1a1,91,704,4,0,454,-1
9,0,0,ks1a1k1_1a,6,795,3,0,6,-1
10,0,0,ka1a1,263,801,4,0,717,-1
11,0,0,ka1a1,1,1064,4,0,718,-1
12,0,0,ks1a1k3_1a,108,1065,3,0,114,-1
13,0,0,ka1a1,12,1173,4,0,730,-1
14,0,0,ks1a1k3_1a,26,1185,3,0,140,-1
15,0,0,ks1c1ue9_1,35,1211,2,0,175,1
16,0,0,ks1c,20,1246,1,0,195,-1
17,0,0,ks1c1ue8_1,19,1266,2,0,214,1
18,0,0,ks1c,71,1285,1,0,285,-1
19,0,0,ks1c,27,1356,1,0,312,-1
20,0,0,Übersicht,8,1383,6,0,738,-1
21,0,0,ks1a,28,1391,6,0,766,-1
22,0,0,ks1a2,115,1419,4,0,881,-1
23,0,0,ks1a2b1_1a,168,1534,5,0,1049,-1
24,0,0,ks1a2b3_1a,24,1702,5,0,1073,-1
25,0,0,ks1a2,42,1726,4,0,1115,-1
26,0,0,ks1a2,50,1768,4,0,1165,-1
27,0,0,ks1a2b4_1a,116,1818,5,0,1281,-1
28,0,0,ks1a2,9,1934,4,0,1290,-1
29,0,0,ks1a2k1_1a,189,1943,3,0,501,-1
30,0,0,ks1a2k3_1a,25,2132,3,0,526,-1
31,0,0,ks1a2,128,2157,4,0,1418,-1
32,0,0,ks1a2,54,2285,4,0,1472,-1
33,0,0,ks1a2k3_1a,68,2339,3,0,594,-1
34,0,0,ks1a4,9,2407,4,0,1481,-1
35,0,0,ks1a,4,2416,6,0,1485,-1
36,0,0,ka1a1,31,2420,4,0,1516,-1
37,0,0,ks1a2,15,2451,4,0,1531,-1
38,0,0,ks1a4b1_1a,51,2466,5,0,1582,-1
39,0,0,ks1a4,24,2517,4,0,1606,-1
40,0,0,ks1a4b4_1a,1,2541,5,0,1607,-1
41,0,0,ks1a4,17,2542,4,0,1624,-1
42,0,0,ks1a4b3_1a,6,2559,5,0,1630,-1
43,0,0,ks1a4,13,2565,4,0,1643,-1
44,0,0,ks1a4b1_1a,67,2578,5,0,1710,-1
45,0,0,ks1a4,6,2645,4,0,1716,-1
46,0,0,ks1a4k2_1a,30,2651,3,0,624,-1
47,0,0,ks1a4,55,2681,4,0,1771,-1
48,0,0,ks1a4k4_1a,41,2736,3,0,665,-1
49,0,0,ks1a5,3,2777,4,0,1774,-1
50,0,0,ks1a4,183,2780,4,0,1957,-1
51,0,0,ks1a5b1_1a,61,2963,5,0,2018,-1
52,0,0,ks1a5,106,3024,4,0,2124,-1
53,0,0,ks1a5b4_1a,63,3130,5,0,2187,-1
54,0,0,ks1a5,2,3193,4,0,2189,-1
55,0,0,ks1a5k2_1a,127,3195,3,0,792,-1
56,0,0,ks1a5k4_1a,1,3322,3,0,793,-1
57,0,0,ks1a5,30,3323,4,0,2219,-1
58,0,0,ks1a5k2_1a,98,3353,3,0,891,-1
59,0,0,Übersicht,6,3451,6,0,2225,-1
60,0,0,ks1a,14,3457,6,0,2239,-1
61,0,0,ks1a5,27,3471,4,0,2266,-1
62,0,0,ks1e,35,3498,6,0,2301,-1
63,0,0,ks1ev1,1220,3533,0,0,2111,-1
64,0,0,ks1ev1,7,4753,0,0,2118,-1
65,0,0,Tour,9,4760,6,0,2310,-1
66,0,0,Übersicht,55,4769,6,0,2365,-1
67,0,1,ks2a,53,4824,6,0,2418,-1
68,0,1,Übersicht,26,4877,6,0,2444,-1
69,0,1,ks2a,1,4903,6,0,2445,-1
70,0,1,ks2a1,352,4904,4,0,2797,-1
71,0,1,ks2a1b1_1a,194,5256,5,0,2991,-1
72,0,1,ks2a1,9,5450,4,0,3000,-1
73,0,1,ks2a1b2_1a,115,5459,5,0,3115,-1
74,0,1,ks2a1,10,5574,4,0,3125,-1
75,0,1,ks2a1b3_1a,33,5584,5,0,3158,-1
76,0,1,ks2a1,5035,5617,4,0,8193,-1
77,0,1,Logout,157880,10652,6,0,166073,-1
78,0,1,Übersicht,4,168532,6,0,166077,-1
79,0,1,Tour,314,168536,6,0,166391,-1
80,0,1,ks2a1,6,168850,4,0,166397,-1
81,0,1,ks2a2,8,168856,4,0,166405,-1
82,0,1,ks2a,81,168864,6,0,166486,-1
