,User,user_id,PersonNO,SW,SWKJ,Int,LZO,ALZO,VLZO,AV,FSK,Pre,Post,LE,PreN1,PostN1,PreN2,PostN2,PreN3,PostN3,LEN1,LEN2,LEN3,Topic,TestsActs,ÜbungenActs,KurzaufgabenActs,BeispieleActs,BK_InfoActs,Ü_InfoActs,Übersicht,LearnActs,InfoActs,TotActs,Learn,Info,Tot,ShortLearnActs,ShortInfoActs,LongLearnActs,LongInfoActs,K+BActs,K+ÜActs,K+Ü+TActs,K+B+ÜActs,K+BKIActs,B+BKIActs,Ü+ÜIActs,BKI+ÜIActs,K+B+BKIActs,K+B+BKI+ÜIActs,K+B+BKI+Ü+ÜIActs,readActs,Tests_tpa,Übungen_tpa,Kurzaufgaben_tpa,Beispiele_tpa,BK_Info_tpa,Ü_Info_tpa,Learn_tpa,Info_tpa,Tot_tpa,K+B_tpa,K+Ü_tpa,K+Ü+T_tpa,K+B+Ü_tpa,K+BKI_tpa,B+BKI_tpa,Ü+ÜI_tpa,BKI+ÜI_tpa,K+B+BKI_tpa,K+B+BKI+ÜI_tpa,K+B+BKI+Ü+ÜI_tpa,read_tpa,duplicates,nCat,LearnTypeEntropy,CategoryEntropy,DidTest,f1,f2,f12,f1Amp,f2Amp,f12Amp,fMean,PredChance1,PredChance2,PredChance3,PredChance4,CondEntropy1,CondEntropy2,CondEntropy3,CondEntropy4,BeforeTestTime,AfterTestTime,TimePerCat,TRegr Fit,ÜRegr Fit,BKRegr Fit,CatTRegr Fit,CatÜRegr Fit,CatBKRegr Fit,DiffLowRegr Fit,DiffMedRegr Fit,DiffHighRegr Fit,TSecSpentRegr Fit,ÜSecSpentRegr Fit,BKSecSpentRegr Fit,SecSpentRegr Fit,meandifficulty,ndifficulty,backfrac,foolfrac1,foolfrac2,foolfrac12,backfrac_cat,foolfrac_cat,jumpfrac_cat,backfrac_topic,foolfrac_topic,jumpfrac_topic,TT,TB,UT,UU,UB,KK,KB,BU,BK,BB,TTT,TTB,TBB,UUU,KKK,KKB,KBK,KBB,BKK,BKB,BBK,BBB,Tests,Übungen,Kurzaufgaben,Beispiele,BK_Info,Ü_Info,Cat_0,Cat_1,Cat_2,Cat_3,Cat_4,Cat_5,Grund,Erweitert,K+B,K+Ü,K+Ü+T,K+B+Ü,K+BKI,B+BKI,Ü+ÜI,BKI+ÜI,K+B+BKI,K+B+BKI+ÜI,K+B+BKI+Ü+ÜI,ShortActs,LongActs,read,LearnPerc,InfoPerc,LearnActsPerc,InfoActsPerc,duplicatesPerc,ShortLearnActsPerc,ShortInfoActsPerc,LongLearnActsPerc,LongInfoActsPerc,ShortActsPerc,LongActsPerc
31,0,0,1.0,2.65,-1.98,0.61,5.47,-1.2,-2.17,-2.62,1.11,-0.15,0.16,0.31,0.39,0.05,-1.3,-0.32,-0.56,0.58,-0.34,0.98,1.14,1096,3,2,31,31,76,6,1814,67,82,167,4408,4255,10477,20,37,3,3,62,33,36,64,107,107,8,82,138,144,146,107,411.6666666666667,27.0,40.64516129032258,59.96774193548387,54.25,22.0,65.7910447761194,51.89024390243903,62.73652694610779,50.30645161290322,39.81818181818182,70.80555555555556,49.578125,50.30841121495328,55.90654205607477,23.25,51.89024390243903,52.47826086956522,51.208333333333336,50.87671232876713,55.90654205607477,88,3,82.27836335999632,60.661345340397546,1,3,2,2.5,35.82089552238806,26.86567164179105,62.6865671641791,11.106410256410255,88.55421686746988,92.12121212121212,92.07317073170732,93.25153374233128,34.784610909981104,28.218968468024368,25.50052804613914,21.7699139996966,45.5,5.066666666666666,58.20555555555556,0.137513612171604,-0.0382996553577498,-0.0992139568138545,0.0638384843683994,0.0224463460794836,-0.0862848304478834,0.0,0.0,0.0,-3998.459118856724,-561.9659242597826,-7.351462963400393,-9.625425993978306,1.0,2,0.1363636363636363,0.106060606060606,0.2121212121212121,0.3181818181818182,0,2,0,10,15,7,0.0066666666666666,0.0133333333333333,0.0,0.0266666666666666,0.0266666666666666,0.04,0.1533333333333333,0.0133333333333333,0.1733333333333333,0.52,0.0,0.0067114093959731,0.0067114093959731,0.0201342281879194,0.0067114093959731,0.0268456375838926,0.0402684563758389,0.0939597315436241,0.0335570469798657,0.1275167785234899,0.1275167785234899,0.3892617449664429,11.787725493939105,0.5154147179536127,12.026343418917628,17.743628901403074,39.35286818745824,1.2599026438866088,40.62231554834399,29.082752696382556,30.294931755273456,0.0,0.0,0.0,87.17190035315453,12.82809964684547,29.769972320320704,12.541758136871245,24.329483630810348,30.285387038274315,51.37921160637588,57.09649708886132,1.7753173618402216,40.61277083134485,69.12284050777895,70.38274315166555,70.89815786961915,0.5440488689510357,0.0572683019948458,57.09649708886132,42.07311253221342,40.61277083134485,40.11976047904192,49.10179640718562,52.69461077844312,11.976047904191615,22.15568862275449,1.7964071856287425,1.7964071856287425,0.3257777658389434,0.0342923964040993
32,1,1,1.4,2.65,-2.24,3.3,5.53,-2.51,-3.24,-5.87,3.48,2.08,3.89,1.81,1.3,3.54,4.21,4.85,2.08,5.15,2.24,0.64,3.07,788,2,0,16,24,61,1,2959,42,62,118,3127,5015,11101,9,25,3,5,40,16,18,40,77,85,1,62,101,102,102,85,303.0,0.0,81.125,50.958333333333336,81.8360655737705,23.0,74.45238095238095,80.88709677419355,94.07627118644068,63.025,81.125,105.77777777777776,63.025,81.68831168831169,73.11764705882354,23.0,80.88709677419355,74.38613861386139,73.88235294117646,73.88235294117646,73.11764705882354,48,5,67.56150673801855,80.15692060173576,1,5,3,4.0,23.809523809523807,21.428571428571427,45.238095238095234,33.925,94.017094017094,95.6896551724138,95.65217391304348,96.49122807017544,24.17496469904981,16.184103135574002,15.756472141874994,14.433900927940716,37.13333333333333,22.466666666666665,37.00333333333333,0.0783444200180461,0.0027553484095064,-0.0810997684275527,0.0552891600514858,0.0038532918602258,-0.0591424519117123,0.0,0.0,0.0,5499.730557116159,0.0,97.97138270020804,84.7487837498352,-1.0,0,0.0238095238095238,0.2857142857142857,0.1666666666666666,0.4523809523809523,2,4,1,5,20,7,0.0096153846153846,0.0096153846153846,0.0096153846153846,0.0,0.0,0.0192307692307692,0.1346153846153846,0.0096153846153846,0.1346153846153846,0.6730769230769231,0.0,0.0097087378640776,0.0097087378640776,0.0,0.0097087378640776,0.0097087378640776,0.0388349514563106,0.087378640776699,0.0097087378640776,0.1262135922330097,0.0970873786407767,0.5728155339805825,5.45896766057112,0.0,11.692640302675434,11.01702549319881,44.96892171876408,0.2071885415728313,37.67228177641654,16.85433744707684,28.970363030357625,6.882262859201874,9.620754886947122,0.0,77.47049815331953,22.52950184668048,22.709665795874244,11.692640302675434,17.151607963246555,22.709665795874244,56.66156202143952,55.98594721196288,0.2071885415728313,45.176110260336905,67.67858751463832,67.88577605621116,67.88577605621116,0.3062787136294028,0.0720655796775065,55.98594721196288,28.168633456445363,45.176110260336905,35.59322033898305,52.54237288135594,40.67796610169492,7.627118644067797,21.1864406779661,2.5423728813559325,4.23728813559322,0.2595582318893243,0.0610725251504292
33,2,2,1.0,3.94,-0.09,3.02,6.91,-0.25,-0.01,-5.87,3.48,4.75,5.97,1.22,4.22,6.07,5.75,4.85,3.03,5.15,1.85,-0.9,2.12,1283,0,0,0,14,51,1,1607,14,52,90,2309,6678,10594,3,19,1,7,14,0,0,14,51,65,1,52,65,66,66,65,0.0,0.0,0.0,164.92857142857142,130.80392156862746,7.0,164.92857142857142,128.42307692307693,117.71111111111112,164.92857142857142,0.0,0.0,164.92857142857142,130.80392156862746,138.15384615384616,7.0,128.42307692307693,138.15384615384616,136.16666666666666,136.16666666666666,138.15384615384616,39,6,35.785163492858715,65.01597739627437,0,14,14,14.0,100.0,100.0,200.0,49.92777777777778,82.02247191011236,88.63636363636364,90.80459770114942,93.02325581395348,54.63283176273413,52.25809305760964,49.47972653040544,42.71290981329483,0.0,0.0,29.42777777777778,0.0,0.0003434007964993,-0.0003434007964993,0.0,0.001221192795343,-0.0012211927953429,0.0,0.0,0.0,0.0,0.0,-4.828275118319581,-9.7882029186001,-1.0,0,0.2142857142857142,0.2857142857142857,0.1428571428571428,0.4285714285714285,7,6,2,9,15,12,0.0,0.0,0.0,0.0,0.0151515151515151,0.0,0.0,0.0151515151515151,0.0,0.9696969696969696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.953846153846154,0.0,0.0,0.0,21.79535586180857,62.96960543703983,0.0660751368699263,6.843496318670946,5.040589012648669,11.317727015291675,1.802907306022277,64.9141023220691,10.08117802529734,69.6715121767038,30.328487823296207,21.79535586180857,0.0,0.0,21.79535586180857,62.96960543703983,84.7649612988484,0.0660751368699263,63.03568057390976,84.7649612988484,84.83103643571833,84.83103643571833,0.2076647158769114,0.0755144421370587,84.7649612988484,21.79535586180857,63.03568057390976,15.555555555555555,57.77777777777777,43.333333333333336,3.333333333333333,21.11111111111111,1.1111111111111112,7.777777777777778,0.2307385731965683,0.083904935707843
34,4,4,1.6,2.09,-2.89,2.52,5.53,-1.44,-3.24,-3.1,-0.86,1.82,3.37,1.55,1.3,4.63,3.07,4.85,2.08,0.58,3.33,1.78,-1.5,1796,11,0,70,18,57,0,5160,99,57,172,8841,5138,19139,15,16,16,4,88,70,81,88,127,75,0,57,145,145,145,75,28.63636363636364,0.0,106.57142857142856,59.22222222222222,90.140350877193,0.0,89.3030303030303,90.140350877193,111.27325581395348,96.88636363636364,106.57142857142856,95.98765432098766,96.88636363636364,99.1968503937008,82.72,0.0,90.140350877193,94.23448275862069,94.23448275862069,94.23448275862069,82.72,64,6,61.18536360772319,87.44600715267869,1,3,5,4.0,15.151515151515152,15.151515151515152,30.303030303030305,21.18030303030303,90.64327485380116,93.52941176470588,94.0828402366864,94.64285714285714,34.295818248313296,24.15308444837341,20.048665076910872,18.42891585038843,43.57666666666667,16.443333333333335,53.16388888888889,0.0064097798587056,0.0,-0.0064097798587053,0.0029524614168119,0.0,-0.0029524614168117,0.0,0.0,0.0,483.75831335521167,0.0,49.33426991845232,34.414203132883046,-1.0,0,0.064516129032258,0.3870967741935484,0.0967741935483871,0.4838709677419355,2,2,2,4,13,6,0.0379746835443038,0.0316455696202531,0.0,0.0,0.0,0.2025316455696202,0.2151898734177215,0.0,0.240506329113924,0.240506329113924,0.019108280254777,0.019108280254777,0.0063694267515923,0.0,0.10828025477707,0.0828025477707006,0.1592356687898089,0.0509554140127388,0.0955414012738853,0.1337579617834395,0.0636942675159235,0.1783439490445859,1.6458540153613044,0.0,38.97800303046136,5.569778985317937,26.84570771722661,0.0,22.58738701081561,4.273995506557291,10.946235435498195,6.672239928940906,37.94869115418778,17.57145096400021,98.2757719839072,1.7242280160927947,44.5477820157793,38.97800303046136,40.62385704582267,44.5477820157793,65.82371074768797,32.41548670254454,0.0,26.84570771722661,71.3934897330059,71.3934897330059,71.3934897330059,0.1619729348450807,0.1044986676419875,32.41548670254454,46.1936360311406,26.84570771722661,57.55813953488372,33.13953488372093,37.2093023255814,8.720930232558139,9.30232558139535,9.30232558139535,2.3255813953488373,0.0941703109564422,0.0607550393267369
35,5,5,2.0,1.53,0.78,3.3,6.91,0.54,-0.01,-1.16,0.39,1.57,1.55,-0.02,1.85,1.85,1.58,2.01,2.08,0.58,0.0,0.43,-1.5,1029,7,40,12,16,24,24,1049,75,48,136,8422,6027,15498,16,24,9,3,28,52,59,68,36,40,64,48,52,76,116,40,182.28571428571428,121.05,131.83333333333334,45.125,90.91666666666669,160.20833333333334,112.29333333333334,125.5625,113.95588235294116,82.28571428571429,123.53846153846152,130.5084745762712,105.08823529411764,104.55555555555556,72.6,135.734375,125.5625,86.26923076923077,109.61842105263158,113.5603448275862,72.6,57,5,74.41101440992443,84.88121523547767,1,15,3,9.0,20.0,16.0,36.0,15.051041666666666,84.44444444444444,88.80597014925374,90.22556390977444,93.18181818181816,42.78057287596385,33.00437143402003,23.84641657444353,16.326460070183245,38.21666666666667,16.933333333333334,51.66,0.0207496699573187,0.2001686999938749,-0.2209183699511938,0.0543678277548807,0.3602841354517632,-0.4146519632066437,-0.0927273325942742,-0.0318361396621129,0.1245634722563872,-4954.070584691239,114.57616437013095,111.9418664665593,23.47074040626108,0.972972972972973,37,0.2,0.1714285714285714,0.0714285714285714,0.2428571428571428,1,5,0,4,5,7,0.024,0.016,0.024,0.48,0.024,0.04,0.024,0.016,0.048,0.248,0.0080645161290322,0.0161290322580645,0.0161290322580645,0.4435483870967742,0.0241935483870967,0.0,0.0,0.0161290322580645,0.0161290322580645,0.0161290322580645,0.0483870967741935,0.2016129032258064,8.23332042844238,31.24274099883856,10.20776874435411,4.658665634275391,14.079236030455542,24.809652858433346,27.48096528584333,24.45476835720738,16.89250225835592,24.809652858433346,6.36211124016002,0.0,100.0,0.0,14.8664343786295,41.45050974319267,49.68383017163505,46.10917537746806,24.28700477480965,18.73790166473093,56.05239385727191,38.88888888888889,28.945670409085047,53.75532326751839,84.99806426635695,0.2580978190734288,0.0774293457220286,18.73790166473093,54.34249580591044,38.88888888888889,55.14705882352941,35.294117647058826,41.91176470588236,11.76470588235294,17.647058823529413,6.61764705882353,2.2058823529411766,0.189777808142227,0.0569333424426681
36,7,7,3.2,0.97,-3.84,2.06,1.57,-0.49,-1.6,-0.85,1.88,0.89,0.92,0.03,1.3,0.54,0.2,1.49,2.08,0.58,-0.76,1.29,-1.5,873,0,27,50,29,55,5,119,106,60,175,9639,6838,16596,25,18,15,5,79,77,77,106,105,84,32,60,134,139,166,84,0.0,115.4074074074074,97.42,56.96551724137931,116.92727272727272,81.4,90.93396226415096,113.96666666666668,94.83428571428573,82.56962025316456,103.72727272727272,103.72727272727272,90.93396226415096,107.63809523809525,96.22619047619048,110.09375,113.96666666666668,96.67164179104478,96.12230215827338,99.25903614457832,96.22619047619048,95,3,80.02262143430525,47.12118248457343,0,4,9,6.5,18.867924528301888,16.9811320754717,35.84905660377359,30.512962962962963,93.10344827586206,94.79768786127168,95.34883720930232,95.32163742690058,28.592153850932437,22.29874264493993,17.983514133229132,17.759783547859833,0.0,0.0,92.2,0.0,0.0210608336096525,-0.0210608336096522,0.0,0.1339122775403572,-0.1339122775403572,-0.3117419225084027,0.311741922508403,0.0,0.0,74.79743503119852,6.868949897845352,1.3721034871981586,0.3684210526315789,19,0.0943396226415094,0.4433962264150943,0.0377358490566037,0.4811320754716981,1,3,0,11,5,9,0.0,0.0058823529411764,0.0058823529411764,0.1647058823529411,0.0117647058823529,0.1647058823529411,0.1117647058823529,0.0058823529411764,0.1235294117647058,0.3823529411764705,0.0,0.0,0.0059171597633136,0.1538461538461538,0.0946745562130177,0.059171597633136,0.0769230769230769,0.0355029585798816,0.0710059171597633,0.0532544378698224,0.0473372781065088,0.3254437869822485,0.0,18.775608580380812,29.350445890576044,9.95420583273078,38.75030127741624,2.452398168233309,68.23330923114004,14.63003133285129,17.136659436008678,0.0,0.0,0.0,85.43022415039768,14.569775849602316,39.30465172330682,48.12605447095686,48.12605447095686,58.08026030368764,68.1007471679923,48.70450711014702,21.228006748614124,41.20269944564956,78.05495300072307,80.50735116895638,99.28295974933718,0.2590985779705953,0.1205109664979513,48.70450711014702,58.08026030368764,41.20269944564956,60.57142857142858,34.285714285714285,54.285714285714285,14.285714285714285,10.285714285714285,8.571428571428571,2.857142857142857,0.1480563302689116,0.0688634094274007
37,8,8,-1.0,-2.63,-0.09,2.76,1.06,-2.21,0.41,-1.49,-2.33,0.89,0.32,-0.57,1.3,1.85,0.9,-0.24,0.38,-0.6,0.55,-1.14,-0.98,1114,1,3,27,44,76,5,1006,75,81,169,6727,6191,13924,13,20,8,3,71,30,31,74,103,120,8,81,147,152,155,120,39.0,26.666666666666668,150.25925925925927,57.97727272727273,75.47368421052632,91.0,89.69333333333333,76.4320987654321,82.3905325443787,93.07042253521126,137.9,134.70967741935485,90.37837837837836,95.07766990291262,69.05833333333334,66.875,76.4320987654321,83.97278911564626,84.20394736842105,83.09032258064516,69.05833333333334,78,4,74.18421988910784,70.55770951838653,1,9,5,7.0,24.0,20.0,44.0,53.825,92.26190476190476,94.61077844311376,95.18072289156626,95.75757575757576,23.694040517535317,19.410814496288747,18.201544340770887,16.459709896892136,5.116666666666666,46.66666666666666,58.016666666666666,0.0021390741048183,0.0266425760473606,-0.0287816501521788,-0.0026454706858622,-0.3557295304281412,0.3583750011140033,0.0,0.0,0.0,0.0,126.65746076503676,-46.01815043189532,-40.59147541817181,1.3333333333333333,3,0.081081081081081,0.4594594594594595,0.0675675675675675,0.5270270270270271,3,5,1,10,13,6,0.0127388535031847,0.0063694267515923,0.0063694267515923,0.0445859872611464,0.0,0.0700636942675159,0.0891719745222929,0.0,0.1019108280254777,0.6624203821656051,0.0064102564102564,0.0064102564102564,0.0064102564102564,0.0384615384615384,0.032051282051282,0.0384615384615384,0.0448717948717948,0.0448717948717948,0.0384615384615384,0.0512820512820512,0.0576923076923076,0.6089743589743589,0.2800919276070095,0.5745475438092502,29.1367423154266,18.320884803217467,41.195058891123246,3.2677391554151107,38.88968687158862,30.76702097098535,22.594082160298765,7.749209997127263,0.0,0.0,79.42401608733122,20.57598391266877,47.45762711864407,29.71128985923585,29.991381786842865,48.03217466245332,70.33180120654984,59.51594369434071,3.8422866992243607,44.462798046538346,88.65268600976731,91.92042516518242,92.49497270899168,0.2370008618213157,0.0790002872737719,59.51594369434071,48.312266590060325,44.462798046538346,44.37869822485207,47.92899408284024,46.15384615384615,7.6923076923076925,11.83431952662722,4.733727810650888,1.7751479289940828,0.1402371963439738,0.0467457321146579
38,9,9,2.5,1.53,-3.84,3.6,4.56,-0.73,-6.47,-3.68,2.69,0.68,-0.07,-0.75,0.02,-0.73,1.58,1.01,3.84,-0.88,-0.75,-0.57,-4.72,283,3,0,35,25,51,1,184,63,52,124,4682,2246,7112,23,19,6,1,60,35,38,60,86,76,1,52,111,112,112,76,474.0,0.0,72.62857142857143,28.72,43.88235294117647,8.0,74.31746031746032,43.19230769230769,57.354838709677416,54.333333333333336,72.62857142857143,104.3157894736842,54.333333333333336,55.58139534883721,38.89473684210526,8.0,43.19230769230769,49.531531531531535,49.160714285714285,49.160714285714285,38.89473684210526,62,2,80.81511463645339,29.480220669861552,1,4,5,4.5,38.095238095238095,15.873015873015872,53.96825396825397,19.244444444444447,93.4959349593496,96.72131147540983,97.5206611570248,97.5,22.430816039653607,15.875472810195545,12.19265928816164,10.526323359617082,67.63333333333334,1.0,59.266666666666666,0.0282939987612895,0.0006103211519816,-0.0289043199132707,0.058813932723532,0.0014846790179814,-0.0602986117415133,0.0,0.0,0.0,2966.2951693343657,0.0,-41.44518994739093,51.650051397418665,-1.0,0,0.0952380952380952,0.5873015873015873,0.1269841269841269,0.7142857142857143,1,1,0,5,10,1,0.008695652173913,0.008695652173913,0.0,0.0,0.008695652173913,0.1565217391304348,0.1391304347826087,0.008695652173913,0.1478260869565217,0.5043478260869565,0.0,0.0,0.0087719298245614,0.0,0.087719298245614,0.0701754385964912,0.087719298245614,0.0526315789473684,0.0701754385964912,0.0701754385964912,0.0614035087719298,0.4298245614035088,19.99437570303712,0.0,35.742407199100114,10.095613048368952,31.467941507311583,0.1124859392575928,77.89651293588301,22.103487064116987,0.0,0.0,0.0,0.0,100.0,0.0,45.83802024746907,35.742407199100114,55.73678290213723,45.83802024746907,67.2103487064117,41.56355455568054,0.1124859392575928,31.580427446569185,77.30596175478065,77.41844769403825,77.41844769403825,0.5905511811023622,0.0984251968503936,41.56355455568054,65.83239595050618,31.580427446569185,50.80645161290322,41.935483870967744,50.0,18.548387096774192,15.32258064516129,4.838709677419355,0.8064516129032258,0.4762509525019049,0.0793751587503174
39,10,10,2.7,-2.09,-1.51,2.76,5.53,0.84,-0.65,-0.54,-2.33,0.89,1.11,0.22,1.85,2.65,-1.3,0.11,3.03,2.27,0.8,1.41,-0.76,763,7,17,49,36,58,4,1456,109,62,184,6220,2058,9734,35,30,4,0,85,66,73,102,107,94,21,62,143,147,164,94,88.71428571428571,52.35294117647059,74.24489795918367,29.75,34.86206896551724,9.0,57.06422018348624,33.193548387096776,52.90217391304348,55.4,68.60606060606061,70.53424657534246,54.8921568627451,52.89719626168224,32.90425531914894,44.095238095238095,33.193548387096776,47.06993006993007,46.034013605442176,46.6890243902439,32.90425531914894,83,4,87.57894832127987,62.51529669164266,1,4,5,4.5,25.68807339449541,18.34862385321101,44.03669724770643,11.497222222222224,90.7103825136612,93.95604395604396,95.02762430939228,96.66666666666669,28.35318065946912,19.184646359322507,14.107701246567403,9.250006571213572,22.325,9.816666666666666,40.55833333333333,0.0285578255760645,0.1177960891294707,-0.1463539147055351,0.0240441873368726,0.1377629057621904,-0.1618070930990631,-0.770722656226654,0.7707226562266538,0.0,808.6399644344972,-20.79803401950574,-31.061221457901876,-19.290663914852864,0.3529411764705882,17,0.160377358490566,0.320754716981132,0.1792452830188679,0.5,0,2,1,5,10,3,0.0292397660818713,0.0175438596491228,0.0058479532163742,0.0994152046783625,0.0175438596491228,0.1461988304093567,0.1228070175438596,0.0116959064327485,0.1403508771929824,0.3859649122807017,0.0235294117647058,0.0058823529411764,0.0058823529411764,0.088235294117647,0.088235294117647,0.0411764705882352,0.0529411764705882,0.0588235294117647,0.0588235294117647,0.0823529411764705,0.0764705882352941,0.3117647058823529,6.3797000205465375,9.143209369221289,37.37415245531128,11.002671049928086,20.772549825354428,0.3698376823505239,50.53420998561743,29.268543250462297,0.0,16.73515512636121,3.462091637559072,0.0,100.0,0.0,48.37682350523937,46.51736182453256,52.89706184507911,57.52003287446066,58.14670228066571,31.77522087528252,9.51304705157181,21.142387507704957,69.1493733305938,69.51921101294431,78.6624203821656,0.6677624820217793,0.0410930758167248,31.77522087528252,63.89973289500719,21.142387507704957,59.2391304347826,33.69565217391305,45.10869565217392,19.021739130434785,16.304347826086957,2.1739130434782608,0.0,0.3629143924031409,0.0223331933786548
40,11,11,1.7,1.53,0.78,1.21,2.68,1.15,0.41,-1.16,2.69,2.67,3.89,1.22,3.21,3.54,4.21,4.85,0.38,5.15,0.33,0.64,4.77,1583,12,17,17,47,72,3,2355,93,75,192,6044,1933,10332,26,39,0,0,64,34,46,81,89,119,20,75,136,139,156,119,244.16666666666663,66.11764705882354,44.52941176470589,26.23404255319149,25.30555555555556,37.0,64.98924731182795,25.773333333333333,53.8125,31.09375,55.3235294117647,104.58695652173913,38.44444444444444,28.97752808988764,25.672268907563023,61.75,25.773333333333333,28.029411764705884,28.22302158273381,32.3525641025641,25.672268907563023,75,5,93.57581373109385,80.43965966954177,1,3,17,10.0,29.03225806451613,18.27956989247312,47.31182795698925,7.386111111111111,87.43455497382199,91.57894736842104,94.70899470899472,95.74468085106383,38.07441340947215,32.66130492781343,22.78278850942092,19.48020992835132,15.95,12.616666666666667,34.440000000000005,0.1674646534725479,-0.130392566407306,-0.0370720870652418,0.3040676427611837,0.1962655246001386,-0.5003331673613222,1.817821598876542,-2.284008903125577,0.4661873042490358,-1327.8581697426407,169.42329182681416,20.2035498948469,0.2754009184225226,0.8235294117647058,17,0.0232558139534883,0.3953488372093023,0.0930232558139534,0.4883720930232558,0,4,0,11,18,12,0.0359281437125748,0.0359281437125748,0.0059880239520958,0.1017964071856287,0.0059880239520958,0.0419161676646706,0.0419161676646706,0.0119760479041916,0.0538922155688622,0.6227544910179641,0.0180722891566265,0.0180722891566265,0.036144578313253,0.0963855421686747,0.0240963855421686,0.0060240963855421,0.0120481927710843,0.0240963855421686,0.0180722891566265,0.0301204819277108,0.0421686746987951,0.5602409638554217,28.358497870692997,10.878823073945023,7.3267518389469615,11.933797909407666,17.634533488192027,1.0743321718931476,29.91676345334882,29.829655439411532,26.229190863337205,8.739837398373984,5.284552845528456,0.0,81.51374370886566,18.48625629113434,19.260549748354627,18.205574912891983,46.56407278358498,30.13937282229965,24.961285327138985,29.56833139759969,11.953155245838172,18.708865660085173,36.89508323654665,37.9694154084398,48.84823848238483,0.6291134339914828,0.0,29.56833139759969,58.49787069299265,18.708865660085173,48.4375,39.0625,39.0625,13.541666666666666,20.3125,0.0,0.0,0.327663246870564,0.0
