,User,Topic,Category,Label,SecSpent,TotSec,LearnType,Level,UserCumSec,difficulty
0,0,-1,-1,Tour,7,46904010,6,-1,7,-1
1,0,-1,-1,Übersicht,134,46904017,6,-1,141,-1
2,0,-1,0,ks1a,11,46904151,6,0,152,-1
3,0,-1,0,Übersicht,8,46904162,6,0,160,-1
4,0,-1,0,ks1a,23,46904170,6,0,183,-1
5,0,0,0,ka1a1,94,46904193,4,0,277,-1
6,0,0,0,ks1a1b1_1a,64,46904287,5,0,341,-1
7,0,0,0,ks1a1b2_1a,22,46904351,5,0,363,-1
8,0,0,0,ka1a1,91,46904373,4,0,454,-1
9,0,0,0,ks1a1k1_1a,6,46904464,3,0,6,-1
10,0,0,0,ka1a1,263,46904470,4,0,717,-1
11,0,0,0,ka1a1,1,46904733,4,0,718,-1
12,0,0,0,ks1a1k3_1a,108,46904734,3,0,114,-1
13,0,0,0,ka1a1,12,46904842,4,0,730,-1
14,0,0,0,ks1a1k3_1a,26,46904854,3,0,140,-1
15,0,0,0,ks1c1ue9_1,35,46904880,2,0,175,1
16,0,-1,0,ks1c,20,46904915,1,0,195,-1
17,0,0,0,ks1c1ue8_1,19,46904935,2,0,214,1
18,0,-1,0,ks1c,71,46904954,1,0,285,-1
19,0,-1,0,ks1c,27,46905025,1,0,312,-1
20,0,-1,0,Übersicht,8,46905052,6,0,738,-1
21,0,-1,0,ks1a,28,46905060,6,0,766,-1
22,0,1,0,ks1a2,115,46905088,4,0,881,-1
23,0,1,0,ks1a2b1_1a,168,46905203,5,0,1049,-1
24,0,1,0,ks1a2b3_1a,24,46905371,5,0,1073,-1
25,0,1,0,ks1a2,42,46905395,4,0,1115,-1
26,0,1,0,ks1a2,50,46905437,4,0,1165,-1
27,0,1,0,ks1a2b4_1a,116,46905487,5,0,1281,-1
28,0,1,0,ks1a2,9,46905603,4,0,1290,-1
29,0,1,0,ks1a2k1_1a,189,46905612,3,0,501,-1
30,0,1,0,ks1a2k3_1a,25,46905801,3,0,526,-1
31,0,1,0,ks1a2,128,46905826,4,0,1418,-1
32,0,1,0,ks1a2,54,46905954,4,0,1472,-1
33,0,1,0,ks1a2k3_1a,68,46906008,3,0,594,-1
34,0,2,0,ks1a4,9,46906076,4,0,1481,-1
35,0,-1,0,ks1a,4,46906085,6,0,1485,-1
36,0,0,0,ka1a1,31,46906089,4,0,1516,-1
37,0,1,0,ks1a2,15,46906120,4,0,1531,-1
38,0,2,0,ks1a4b1_1a,51,46906135,5,0,1582,-1
39,0,2,0,ks1a4,24,46906186,4,0,1606,-1
40,0,2,0,ks1a4b4_1a,1,46906210,5,0,1607,-1
41,0,2,0,ks1a4,17,46906211,4,0,1624,-1
42,0,2,0,ks1a4b3_1a,6,46906228,5,0,1630,-1
43,0,2,0,ks1a4,13,46906234,4,0,1643,-1
44,0,2,0,ks1a4b1_1a,67,46906247,5,0,1710,-1
45,0,2,0,ks1a4,6,46906314,4,0,1716,-1
46,0,2,0,ks1a4k2_1a,30,46906320,3,0,624,-1
47,0,2,0,ks1a4,55,46906350,4,0,1771,-1
48,0,2,0,ks1a4k4_1a,41,46906405,3,0,665,-1
49,0,3,0,ks1a5,3,46906446,4,0,1774,-1
50,0,2,0,ks1a4,183,46906449,4,0,1957,-1
51,0,3,0,ks1a5b1_1a,61,46906632,5,0,2018,-1
52,0,3,0,ks1a5,106,46906693,4,0,2124,-1
53,0,3,0,ks1a5b4_1a,63,46906799,5,0,2187,-1
54,0,3,0,ks1a5,2,46906862,4,0,2189,-1
55,0,3,0,ks1a5k2_1a,127,46906864,3,0,792,-1
56,0,3,0,ks1a5k4_1a,1,46906991,3,0,793,-1
57,0,3,0,ks1a5,30,46906992,4,0,2219,-1
58,0,3,0,ks1a5k2_1a,98,46907022,3,0,891,-1
59,0,-1,0,Übersicht,6,46907120,6,0,2225,-1
60,0,-1,0,ks1a,14,46907126,6,0,2239,-1
61,0,3,0,ks1a5,27,46907140,4,0,2266,-1
62,0,-1,0,ks1e,35,46907167,6,0,2301,-1
63,0,-1,0,ks1ev1,1220,46907202,0,0,2111,-1
64,0,-1,0,ks1ev1,7,46908422,0,0,2118,-1
65,0,-1,0,Tour,9,46908429,6,0,2310,-1
66,0,-1,0,Übersicht,55,46908438,6,0,2365,-1
67,0,-1,1,ks2a,53,46908493,6,0,2418,-1
68,0,-1,1,Übersicht,26,46908546,6,0,2444,-1
69,0,-1,1,ks2a,1,46908572,6,0,2445,-1
70,0,4,1,ks2a1,352,46908573,4,0,2797,-1
71,0,4,1,ks2a1b1_1a,194,46908925,5,0,2991,-1
72,0,4,1,ks2a1,9,46909119,4,0,3000,-1
73,0,4,1,ks2a1b2_1a,115,46909128,5,0,3115,-1
74,0,4,1,ks2a1,10,46909243,4,0,3125,-1
75,0,4,1,ks2a1b3_1a,33,46909253,5,0,3158,-1
76,0,4,1,ks2a1,5035,46909286,4,0,8193,-1
77,0,-1,1,Logout,157880,46914321,6,0,166073,-1
78,0,-1,1,Übersicht,4,47072201,6,0,166077,-1
79,0,-1,1,Tour,314,47072205,6,0,166391,-1
80,0,4,1,ks2a1,6,47072519,4,0,166397,-1
81,0,5,1,ks2a2,8,47072525,4,0,166405,-1
82,0,-1,1,ks2a,81,47072533,6,0,166486,-1
83,0,4,1,ks2a1b4_1a,33,47072614,5,0,166519,-1
84,0,4,1,ks2a1,7,47072647,4,0,166526,-1
85,0,5,1,ks2a2,13,47072654,4,0,166539,-1
86,0,-1,1,ks2a,485,47072667,6,0,167024,-1
87,0,5,1,ks2a2b1_1a,25,47073152,5,0,167049,-1
88,0,5,1,ks2a2b4_1a,5,47073177,5,0,167054,-1
89,0,5,1,ks2a2,29,47073182,4,0,167083,-1
90,0,5,1,ks2a2b1_1a,8,47073211,5,0,167091,-1
91,0,5,1,ks2a2,81,47073219,4,0,167172,-1
92,0,5,1,ks2a2k1_1a,19,47073300,3,0,2137,-1
93,0,5,1,ks2a2,54,47073319,4,0,167226,-1
94,0,5,1,ks2a2,15,47073373,4,0,167241,-1
95,0,5,1,ks2a2k1_1a,25,47073388,3,0,2162,-1
96,0,5,1,ks2a2k3_1a,134,47073413,3,0,2296,-1
97,0,-1,1,ks2a,7,47073547,6,0,167248,-1
98,0,-1,1,ks2c,5,47073554,1,0,2301,-1
99,0,-1,1,Übersicht,2,47073559,6,0,167250,-1
100,0,6,1,ks2a3,4,47073561,4,0,167254,-1
101,0,5,1,ks2a2,13,47073565,4,0,167267,-1
102,0,6,1,ks2a3b1_1a,10,47073578,5,0,167277,-1
103,0,6,1,ks2a3,22,47073588,4,0,167299,-1
104,0,6,1,ks2a3b4_1a,12,47073610,5,0,167311,-1
105,0,6,1,ks2a3,31,47073622,4,0,167342,-1
106,0,6,1,ks2a3k4_1a,3,47073653,3,0,2304,-1
107,0,6,1,ks2a3,48,47073656,4,0,167390,-1
108,0,6,1,ks2a3k2_1a,52,47073704,3,0,2356,-1
109,0,6,1,ks2a3,5,47073756,4,0,167395,-1
110,0,-1,1,ks2c,4,47073761,1,0,2360,-1
111,0,5,1,ks2a2,5,47073765,4,0,167400,-1
112,0,7,1,ks2a4,4,47073770,4,0,167404,-1
