Task,Date/Time,User,ResponsTask,Aufgabenniveau,Code
KS1a1K1_1,2021-10-04 11:58:18,HE1021-910,f,,GI13SA
KS1a1K2_1,2021-10-04 12:00:12,HE1021-911,twr,,SA20AN
KS1c2U11_1,2021-10-04 12:00:22,HE1021-905,f,mittel,BÜ26LI
KS1a1K1_1,2021-10-04 12:00:48,HE1021-902,twr,,HÄ09MO
KS1a1K1_1,2021-10-04 12:01:45,HE1021-900,twr,,OF29VL
KS1a1K1_1,2021-10-04 12:02:13,HE1021-907,r,,GI11SI
KS1a1K2_1,2021-10-04 12:03:41,HE1021-902,r,,HÄ09MO
KD2a4K4_1,2021-10-04 12:03:44,HE1021-904,r,,MA05HE
KS1a1K2_1,2021-10-04 12:03:49,HE1021-900,r,,OF29VL
KS1c1U9_1,2021-10-04 12:04:28,HE1021-911,r,mittel,SA20AN
KD2a4K1_1,2021-10-04 12:05:33,HE1021-904,r,,MA05HE
KS1c2U1_1,2021-10-04 12:05:56,HE1021-909,r,niedrig,LI27AN
KS1c2U9_1,2021-10-04 12:06:21,HE1021-911,twr,mittel,SA20AN
KS1c2U9_1,2021-10-04 12:06:26,HE1021-909,twr,mittel,LI27AN
KS1a1K1_1,2021-10-04 12:06:36,HE1021-916,r,,CA31IT
KS1c1U3_1,2021-10-04 12:06:48,HE1021-900,twr,niedrig,OF29VL
KS1a1K1_1,2021-10-04 12:07:04,HE1021-914,r,,RE15AN
KS1a1K3_1,2021-10-04 12:07:25,HE1021-902,f,,HÄ09MO
KS1c6U2_1,2021-10-04 12:07:46,HE1021-905,twr,hoch,BÜ26LI
KS1c2U11_1,2021-10-04 12:08:15,HE1021-909,f,mittel,LI27AN
KS2c6U1_1,2021-10-04 12:09:05,HE1021-910,f,mittel,GI13SA
KS1c2U13_1,2021-10-04 12:09:27,HE1021-909,r,mittel,LI27AN
KS1c4U7_1,2021-10-04 12:09:31,HE1021-911,twr,mittel,SA20AN
KS1a1K4_1,2021-10-04 12:09:34,HE1021-902,twr,,HÄ09MO
KS1c6U5_1,2021-10-04 12:10:22,HE1021-905,f,hoch,BÜ26LI
KS1c5U8_1,2021-10-04 12:10:54,HE1021-911,twr,niedrig,SA20AN
KS1a1K2_1,2021-10-04 12:11:16,HE1021-914,f,,RE15AN
KS1c5U1_1,2021-10-04 12:12:12,HE1021-911,r,mittel,SA20AN
KS1a2K1_1,2021-10-04 12:12:19,HE1021-902,twr,,HÄ09MO
KS1c5U6_1,2021-10-04 12:13:09,HE1021-911,twr,hoch,SA20AN
KS1a1K2_1,2021-10-04 12:13:43,HE1021-916,r,,CA31IT
KS1c4U8_1,2021-10-04 12:13:54,HE1021-909,r,mittel,LI27AN
KS1a1K3_1,2021-10-04 12:14:13,HE1021-914,r,,RE15AN
KS1c6U4_1,2021-10-04 12:14:42,HE1021-911,twr,niedrig,SA20AN
KS1c5U1_1,2021-10-04 12:15:50,HE1021-909,r,mittel,LI27AN
KS1a2K2_1,2021-10-04 12:17:45,HE1021-902,twr,,HÄ09MO
KS1a1K3_1,2021-10-04 12:18:38,HE1021-916,twr,,CA31IT
KS1a2K3_1,2021-10-04 12:18:45,HE1021-902,f,,HÄ09MO
KD2a1K3_1,2021-10-04 12:20:07,HE1021-904,twr,,MA05HE
KS1a2K4_1,2021-10-04 12:21:45,HE1021-902,twr,,HÄ09MO
KS1c6U2_1,2021-10-04 12:22:02,HE1021-911,twr,hoch,SA20AN
KD2a1K4_1,2021-10-04 12:22:06,HE1021-904,,,MA05HE
KS2a1K1_1,2021-10-04 12:26:12,HE1021-915,twr,,LU28RE
KS1a1K4_1,2021-10-04 12:26:14,HE1021-916,twr,,CA31IT
KS1a4K1_1,2021-10-04 12:27:39,HE1021-902,r,,HÄ09MO
KS1a4K2_1,2021-10-04 12:29:07,HE1021-902,r,,HÄ09MO
KS1c1U3_1,2021-10-04 12:29:28,HE1021-908,r,niedrig,AS20UR
KD2a2K1_1,2021-10-04 12:30:29,HE1021-904,twr,,MA05HE
KD2a2K2_1,2021-10-04 12:32:13,HE1021-904,f,,MA05HE
KS1c2U13_1,2021-10-04 12:32:19,HE1021-910,twr,mittel,GI13SA
KS1a4K3_1,2021-10-04 12:32:29,HE1021-902,twr,,HÄ09MO
KS2c1U2_1,2021-10-04 12:33:04,HE1021-909,r,hoch,LI27AN
KS2c3U1_1,2021-10-04 12:35:10,HE1021-900,r,niedrig,OF29VL
KS1a4K4_1,2021-10-04 12:35:13,HE1021-902,r,,HÄ09MO
KS1a4K4_1,2021-10-04 12:35:13,HE1021-902,,,HÄ09MO
KS2c1U9_1,2021-10-04 12:35:17,HE1021-909,twr,,LI27AN
KS1a2K1_1,2021-10-04 12:35:50,HE1021-916,twr,,CA31IT
KD2a2K4_1,2021-10-04 12:36:02,HE1021-904,r,,MA05HE
KS2c2U1_1,2021-10-04 12:36:40,HE1021-909,twr,,LI27AN
KS2a1K1_1,2021-10-04 12:37:03,HE1021-912,r,,BR26AN
KS1a2K2_1,2021-10-04 12:37:18,HE1021-914,f,,RE15AN
KS2c2U2_1,2021-10-04 12:37:43,HE1021-909,r,,LI27AN
KD1a2K1_1,2021-10-04 12:38:29,HE1021-907,f,,GI11SI
KS1a5K1_1,2021-10-04 12:40:38,HE1021-902,r,,HÄ09MO
KD1a2K2_1,2021-10-04 12:41:40,HE1021-907,r,,GI11SI
KS1a5K2_1,2021-10-04 12:42:09,HE1021-902,r,,HÄ09MO
KS1a2K2_1,2021-10-04 12:42:50,HE1021-916,r,,CA31IT
KS1a2K3_1,2021-10-04 12:43:11,HE1021-914,r,,RE15AN
KS1a5K3_1,2021-10-04 12:43:45,HE1021-902,r,,HÄ09MO
KS1a2K4_1,2021-10-04 12:45:14,HE1021-914,twr,,RE15AN
KS1a5K4_1,2021-10-04 12:45:19,HE1021-902,r,,HÄ09MO
KD2a3K1_1,2021-10-04 12:45:35,HE1021-904,twr,,MA05HE
KS1c5U2_1,2021-10-04 12:46:13,HE1021-910,r,mittel,GI13SA
KS2c3U9_1,2021-10-04 12:46:15,HE1021-909,r,mittel,LI27AN
KD1a2K3_1,2021-10-04 12:46:30,HE1021-907,r,,GI11SI
KD2a3K2_1,2021-10-04 12:47:36,HE1021-904,twr,,MA05HE
KS1a2K3_1,2021-10-04 12:48:32,HE1021-916,twr,,CA31IT
KS2c3U2_1,2021-10-04 12:48:34,HE1021-909,r,hoch,LI27AN
KS1c6U4_1,2021-10-04 12:48:45,HE1021-910,r,niedrig,GI13SA
KD2a3K4_1,2021-10-04 12:50:37,HE1021-904,r,,MA05HE
KS1c1U3_1,2021-10-04 12:51:21,HE1021-902,twr,niedrig,HÄ09MO
KS1a2K4_1,2021-10-04 12:52:17,HE1021-916,twr,,CA31IT
KS2c5U8_1,2021-10-04 12:52:32,HE1021-909,twr,mittel,LI27AN
KS1c1U7_1,2021-10-04 12:53:29,HE1021-902,f,niedrig,HÄ09MO
KD2a4K1_1,2021-10-04 12:54:57,HE1021-907,r,,GI11SI
KS1c1U2_1,2021-10-04 12:55:58,HE1021-902,r,niedrig,HÄ09MO
KD1a2K1_1,2021-10-04 12:56:44,HE1021-904,r,,MA05HE
