,index,Date/Time,Post Title,Post Slug,Post Type,Username,Activity,IP address,Referrer,Location,User Role,Permalink,User Email,Visit Duration
2,4491,2022-10-05 08:42:01,Einführungs-Tour,einfuehrungs-tour,page,HE1022-806,visited,61117f475a954f2bec32e8ea0e83aa56,https://lenvi.l3hrit.de/,Giessen,subscriber,https://lenvi.l3hrit.de/einfuehrungs-tour/,client@lehrit.de,
3,4490,2022-10-05 08:45:59,Einführungs-Tour,einfuehrungs-tour,page,HE1022-803,visited,8d6877669fd3824d2bc0ad07209f9627,https://lenvi.l3hrit.de/,Giessen,subscriber,https://lenvi.l3hrit.de/einfuehrungs-tour/,client@lehrit.de,
4,4489,2022-10-05 08:46:04,Kraft,kraft-2,page,HE1022-803,visited,8d6877669fd3824d2bc0ad07209f9627,https://lenvi.l3hrit.de/einfuehrungs-tour/,Giessen,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/,client@lehrit.de,
5,4488,2022-10-05 08:46:36,Kraft,kraft-2,page,HE1022-806,visited,61117f475a954f2bec32e8ea0e83aa56,https://lenvi.l3hrit.de/einfuehrungs-tour/,Giessen,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/,client@lehrit.de,
6,4487,2022-10-05 08:46:45,Einführungs-Tour,einfuehrungs-tour,page,HE1022-804,visited,1f87024a42c02938a5775089746c4fd8,https://lenvi.l3hrit.de/,Giessen,subscriber,https://lenvi.l3hrit.de/einfuehrungs-tour/,client@lehrit.de,
7,4486,2022-10-05 08:46:46,Einführungs-Tour,einfuehrungs-tour,page,HE1022-805,visited,b43735c6cd047be3dd40cfe269911496,https://lenvi.l3hrit.de/,Giessen,subscriber,https://lenvi.l3hrit.de/einfuehrungs-tour/,client@lehrit.de,
8,4485,2022-10-05 08:46:48,KS1a: Erarbeiten des Grundwissens,ks1a-erarbeiten-des-grundwissens,page,HE1022-803,visited,8d6877669fd3824d2bc0ad07209f9627,https://lenvi.l3hrit.de/online-lernen/kraft-2/,Giessen,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/,client@lehrit.de,
9,4484,2022-10-05 08:46:49,Kraft,kraft-2,page,HE1022-805,visited,b43735c6cd047be3dd40cfe269911496,https://lenvi.l3hrit.de/einfuehrungs-tour/,Giessen,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/,client@lehrit.de,
10,4483,2022-10-05 08:46:51,Kraft,kraft-2,page,HE1022-804,visited,1f87024a42c02938a5775089746c4fd8,https://lenvi.l3hrit.de/einfuehrungs-tour/,Giessen,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/,client@lehrit.de,
11,4482,2022-10-05 08:46:55,KS1a1: Kraft und Wirkung,ka1a1-kraft-und-wirkung,page,HE1022-803,visited,8d6877669fd3824d2bc0ad07209f9627,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/,Giessen,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,client@lehrit.de,
12,4481,2022-10-05 08:47:15,KS1a: Erarbeiten des Grundwissens,ks1a-erarbeiten-des-grundwissens,page,HE1022-806,visited,61117f475a954f2bec32e8ea0e83aa56,https://lenvi.l3hrit.de/online-lernen/kraft-2/,Giessen,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/,client@lehrit.de,
13,4480,2022-10-05 08:47:16,KS1a: Erarbeiten des Grundwissens,ks1a-erarbeiten-des-grundwissens,page,HE1022-805,visited,b43735c6cd047be3dd40cfe269911496,https://lenvi.l3hrit.de/online-lernen/kraft-2/,Giessen,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/,client@lehrit.de,
14,4479,2022-10-05 08:47:25,KS1a: Erarbeiten des Grundwissens,ks1a-erarbeiten-des-grundwissens,page,HE1022-804,visited,1f87024a42c02938a5775089746c4fd8,https://lenvi.l3hrit.de/online-lernen/kraft-2/,Giessen,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/,client@lehrit.de,
15,4478,2022-10-05 08:47:27,KS1a1: Kraft und Wirkung,ka1a1-kraft-und-wirkung,page,HE1022-805,visited,b43735c6cd047be3dd40cfe269911496,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/,Giessen,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,client@lehrit.de,
16,4477,2022-10-05 08:47:28,KS1a1: Kraft und Wirkung,ka1a1-kraft-und-wirkung,page,HE1022-806,visited,61117f475a954f2bec32e8ea0e83aa56,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/,Giessen,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,client@lehrit.de,
17,4476,2022-10-05 08:47:30,KS1a1: Kraft und Wirkung,ka1a1-kraft-und-wirkung,page,HE1022-804,visited,1f87024a42c02938a5775089746c4fd8,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/,Giessen,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,client@lehrit.de,
18,4475,2022-10-05 08:47:42,Einführungs-Tour,einfuehrungs-tour,page,HE1022-800,visited,967a26e50282e352204cec3bc8d1d3f4,https://lenvi.l3hrit.de/,Marburg,subscriber,https://lenvi.l3hrit.de/einfuehrungs-tour/,client@lehrit.de,
19,4474,2022-10-05 08:47:49,Kraft,kraft-2,page,HE1022-800,visited,967a26e50282e352204cec3bc8d1d3f4,https://lenvi.l3hrit.de/einfuehrungs-tour/,Marburg,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/,client@lehrit.de,
20,4473,2022-10-05 08:48:14,Einführungs-Tour,einfuehrungs-tour,page,HE1022-802,visited,3b9ff0fd9e534440a07b91a1d33919ac,https://lenvi.l3hrit.de/,Marburg,subscriber,https://lenvi.l3hrit.de/einfuehrungs-tour/,client@lehrit.de,
