user,Person,user_id
HE1022-800,AL21AN,0
HE1022-801,LA12KA,1
HE1022-802,GI17VI,2
HE1022-803,GI10JU,3
HE1022-804,GI15AN,4
HE1022-805,GÖ18AN,5
HE1022-806,LI02GU,6
HE1022-807,WE27KE,7
HE1022-808,WE10EL,8
HE1022-810,SC30TI,9
HE1022-811,BO75LO,10
HE1022-812,KO31AN,11
HE1022-813,PU01DA,12
HE1022-814,SC02CO,13
HE1022-815,LE29JE,14
HE1022-816,NO25CH,15
HE1022-817,DÜ12HE,16
HE1022-818,MA06AN,17
HE1022-819,FR19UT,18
HE1022-820,FR06KA,19
HE1022-821,WI10ME,20
HE1022-822,LI14CI,21
HE1022-823,BA01MA,22
HE1022-824,BU25SU,23
HE1022-825,NO12LE,24
HE1022-826,LI28MA,25
HE1022-827,BI21LI,26
HE1022-828,CA13IS,27
HE1022-829,IT16SY,28
HE1022-830,KA02AN,29
HE1022-831,HE05BI,30
HE1022-832,KA08TA,31
HE1022-833,BA09JA,32
HE1022-834,HA26CL,33
HE1022-835,TR04CH,34
HE1022-836,MR25UL,35
