Date/Time,Page,Kennziffer,Aktivität,Ort,User,Code,Referrer,Link,Benutzernamen.Column2,Status,Abfrage,Eingabe 1,Eingabe 2,Eingabe 3,Eingabe 4,Eingabe 5,Eingabe 6,Eingabe 7,Eingabe 8,Eingabe 9,Eingabe 10,Task,ResponsTask,Aufgabenniveau,Test,Testergebnis 1,Testergebnis 2
04/10/2021 11:54:43,Startseite,Startseite,,startseite,LBenutzer HE1021-900,HE1021-900,https://lenvi.l3hrit.de/,https://lenvi.l3hrit.de/,OF29VL,,,,,,,,,,,,,,,,,,
04/10/2021 11:55:01,EinfÃ¼hrungs-Tour,Einfuhrung,,einfuehrungs-tour,LBenutzer HE1021-900,HE1021-900,https://lenvi.l3hrit.de/,https://lenvi.l3hrit.de/einfuehrungs-tour/,OF29VL,,,,,,,,,,,,,,,,,,
04/10/2021 11:55:05,Kraft,Kraft,,kraft-2,LBenutzer HE1021-900,HE1021-900,https://lenvi.l3hrit.de/einfuehrungs-tour/,https://lenvi.l3hrit.de/online-lernen/kraft-2/,OF29VL,,,,,,,,,,,,,,,,,,
04/10/2021 11:56:30,KS1a: Erarbeiten des Grundwissens,KS1a, Erarbeiten des Grundwissens,ks1a-erarbeiten-des-grundwissens,LBenutzer HE1021-900,HE1021-900,https://lenvi.l3hrit.de/online-lernen/kraft-2/,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/,OF29VL,,,,,,,,,,,,,,,,,,
04/10/2021 11:56:34,KS1a1: Kraft und Wirkung,KS1a1, Kraft und Wirkung,ka1a1-kraft-und-wirkung,LBenutzer HE1021-900,HE1021-900,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,OF29VL,,,,,,,,,,,,,,,,,,
04/10/2021 11:54:12,Startseite,Startseite,,startseite,LBenutzer HE1021-901,HE1021-901,https://lenvi.l3hrit.de/,https://lenvi.l3hrit.de/,MA05HE,,,,,,,,,,,,,,,,,,
04/10/2021 11:54:31,EinfÃ¼hrungs-Tour,Einfuhrung,,einfuehrungs-tour,LBenutzer HE1021-901,HE1021-901,https://lenvi.l3hrit.de/,https://lenvi.l3hrit.de/einfuehrungs-tour/,MA05HE,,,,,,,,,,,,,,,,,,
04/10/2021 11:54:33,Kraft,Kraft,,kraft-2,LBenutzer HE1021-901,HE1021-901,https://lenvi.l3hrit.de/einfuehrungs-tour/,https://lenvi.l3hrit.de/online-lernen/kraft-2/,MA05HE,,,,,,,,,,,,,,,,,,
04/10/2021 11:56:22,KS1e: Testen des Grundwissens,KS1e, Testen des Grundwissens,ks1e-testen-des-grundwissens,LBenutzer HE1021-901,HE1021-901,https://lenvi.l3hrit.de/online-lernen/kraft-2/,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1e-testen-des-grundwissens/,MA05HE,,,,,,,,,,,,,,,,,,
04/10/2021 11:56:29,KS1eV1: Testen des Grundwissens Version 1,KS1eV1, Testen des Grundwissens Version 1,ks1ev1-testen-des-grundwissens-version-1,LBenutzer HE1021-901,HE1021-901,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1e-testen-des-grundwissens/,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1e-testen-des-grundwissens/ks1ev1-testen-des-grundwissens-version-1/,MA05HE,,,,,,,,,,,,,,,,,,
