,Person,Rasch_Stacking_Niveaustufen_Pre,Rasch_Stacking_Niveaustufen_Post,Rasch_Stacking_Niveaustufen_Differenz,SWJK,Note,SWK,FSK,AV,ALZO,VLZO,LZO,Inte,KLO,KLW,MKL,RZM,RSA,RAK,Rasch_Stacking_RF_Pre,Rasch_Stacking_RF_Post,Rasch_Stacking_RF_Differenz
0,AS20UR,0.18,0.34,0.16000000000000003,2.09,2.5,-0.05,-1.84,-1.02,-2.07,1.1,2.01,-1.19,1.26,0.28,-0.33,-5.33,-1.46,9.67,-1.17,-1.31,-0.14000000000000012
1,BA05BR,-0.56,0.61,1.17,-1.14,3.2,-0.64,-0.9,0.58,-0.79,-1.42,1.72,0.92,-0.7,-1.14,0.03,-3.02,-0.23,-0.16,-2.62,-0.57,2.0500000000000003
2,BA05SA,0.18,1.14,0.96,-1.64,2.0,-0.05,1.71,0.58,1.33,0.9,0.01,0.75,-0.32,-1.53,0.03,-5.33,0.73,11.33,-1.17,0.03,1.2
3,BA05ZE,0.59,,,3.62,1.9,2.22,1.26,0.21,1.04,1.77,2.41,-0.38,,0.0,,,,,-0.43,,
4,BA12AN,-0.56,-0.03,0.53,-1.64,2.5,0.52,0.66,-0.81,-0.79,-2.08,0.33,0.65,1.01,0.68,0.53,2.95,-0.71,2.73,-2.62,-1.77,0.8500000000000001
5,BE19UT,1.17,0.61,-0.5599999999999999,-1.64,1.3,0.52,1.1,-0.43,0.08,-2.08,0.88,0.99,1.55,0.28,-0.15,-3.02,1.1,-2.23,0.52,-0.57,-1.0899999999999999
6,BL12KA,-0.16,,,-0.92,2.5,6.07,2.68,0.77,0.3,0.69,4.76,0.09,,0.0,,,,,-1.6,,
7,BR26AN,0.65,1.26,0.61,,1.2,,1.1,-1.02,0.3,-1.73,3.59,,1.55,-0.44,0.23,-1.24,-0.71,5.74,-1.17,-0.26,0.9099999999999999
8,BÜ26LI,0.04,0.27,0.23,-0.3,1.7,1.65,1.57,-2.69,-1.77,-4.31,0.33,1.91,0.79,1.11,1.51,-1.76,1.1,1.29,-2.07,-0.57,1.5
9,BÜ30MI,0.18,0.44,0.26,-0.3,1.9,1.09,2.06,-0.81,-1.25,-1.73,2.67,1.16,2.36,2.02,0.74,0.44,1.67,-0.16,-0.79,-0.92,-0.13
10,CA31IT,0.33,0.96,0.6299999999999999,,1.0,,-0.48,-1.42,-1.25,-5.62,-0.52,,-0.51,-1.14,0.03,0.05,-1.1,-1.21,-0.43,0.31,0.74
11,DA10GH,0.82,0.61,-0.20999999999999996,,1.7,,-0.56,-0.25,-1.5,-1.73,4.94,,-0.12,1.11,0.74,-0.35,1.1,-6.85,0.21,-0.57,-0.7799999999999999
12,ER14CL,0.18,0.96,0.78,-2.3,1.9,2.22,-2.1,-1.72,-1.77,-2.08,4.76,2.45,0.64,-0.1,1.41,-1.24,2.61,-3.62,-1.6,0.31,1.9100000000000001
13,FR06BR,0.18,0.27,0.09000000000000002,-1.93,2.4,0.52,-0.05,-3.41,0.08,-0.15,3.38,0.92,1.1,1.11,1.1,-1.24,1.87,1.29,-1.17,-0.92,0.2499999999999999
14,FR14AN,-0.33,0.61,0.94,-2.8,1.4,0.52,0.24,-2.69,-0.14,0.07,1.43,-1.48,2.36,0.28,1.36,-1.24,0.14,4.69,-1.17,-1.31,-0.14000000000000012
15,FR19CA,-0.33,0.96,1.29,-1.93,2.4,-0.05,-1.59,0.21,-0.79,-0.15,0.56,-1.99,-1.38,-0.44,-0.23,-1.24,-1.47,4.69,-2.62,0.58,3.2
16,FR28JO,0.82,1.14,0.31999999999999995,0.1,2.2,-1.76,-1.86,-2.1,-0.79,-1.42,2.41,1.46,0.24,-2.46,0.6,0.05,-1.1,11.33,-0.43,0.03,0.45999999999999996
17,FU14KE,2.51,4.42,1.9100000000000001,1.63,1.4,3.57,2.19,0.21,-0.79,-4.31,3.38,5.51,0.44,-1.96,0.71,-1.76,-1.1,-1.21,2.21,3.48,1.27
18,GI11SI,0.33,0.61,0.27999999999999997,0.1,2.4,1.09,3.1,-1.02,0.3,-2.46,2.01,2.12,1.26,0.68,-0.05,-1.76,-0.71,1.29,-1.17,-0.26,0.9099999999999999
19,GI13SA,-0.87,,,-4.93,3.2,2.84,1.26,-1.16,-1.5,-5.62,4.76,0.75,,0.0,,,,,-2.07,,
20,GI18IN,5.99,,,-2.8,1.0,1.65,2.68,-2.1,-2.44,-5.62,1.72,0.59,,0.0,,,,,5.49,,
21,GI25KE,-0.04,0.44,0.48,0.3,1.5,-0.64,-1.84,-0.07,-0.14,0.28,3.59,-0.9,0.59,1.11,0.23,0.05,0.6,1.29,-0.59,-0.92,-0.33000000000000007
22,GR04ST,0.18,1.14,0.96,0.1,1.5,-0.64,-0.17,-0.81,-0.14,-0.38,1.43,-0.14,2.36,1.11,1.1,1.74,0.6,1.29,-1.17,0.58,1.75
