user,Person,user_id
HE1021-900,OF29VL,0
HE1021-901,MA05HE,1
HE1021-902,HÜ09MO,2
HE1021-904,MA06HE,3
HE1021-905,BÜ26LI,4
HE1021-906,BA05BR,5
HE1021-907,GI11SI,6
HE1021-908,AS20UR,7
HE1021-909,LI27AN,8
HE1021-910,GI13SA,9
HE1021-911,SA20AN,10
HE1021-912,BR26AN,11
HE1021-913,DA10GH,12
HE1021-914,RE15AN,13
HE1021-915,LU28RE,14
HE1021-916,CA31IT,15
HE1021-917,BA12AN,16
HE1021-920,FR19CA,17
HE1021-921,GI18IN,18
HE1021-922,NI12KA,19
HE1021-923,HA05AN,20
HE1021-924,BE19UT,21
HE1021-925,ME23YA,22
HE1021-926,BA05ZE,23
HE1021-927,ST01MA,24
HE1021-928,FR28JO,25
HE1021-929,RU19YV,26
HE1021-930,BA05SA,27
HE1021-931,MÜ04KA,28
HE1021-932,FR14AN,29
HE1021-933,SC24SY,30
HE1021-934,KA16LY,31
HE1021-935,SI17SO,32
HE1021-936,RI09JI,33
HE1021-937,KA01MA,34
HE1021-938,HA12BE,35
HE1021-939,BL12KA,36
HE1021-940,GR04ST,37
HE1021-942,MA31CE,38
HE1021-950,ER14CL,39
HE1021-951,WE20SA,40
HE1021-952,FR06BR,41
HE1021-953,LI13SI,42
HE1021-954,FU14KE,43
HE1021-955,GI25KE,44
HE1021-956,BÜ30MI,45
HE1021-957,DR17CO,46
